actor_i,actor_j,presence_jaccard,rpa_jaccard,both_eu,both_nato,both_brics
Belgium,Portugal,0.3103448275862069,0.23529411764705882,True,True,False
Belgium,Romania,0.4482758620689655,0.2777777777777778,True,True,False
Belgium,Russian Federation,0.6052631578947368,0.13793103448275862,False,False,False
Belgium,Slovakia,0.037037037037037035,0.07142857142857142,True,True,False
Belgium,South Africa,0.7741935483870968,0.45454545454545453,False,False,False
Belgium,Spain,0.65625,0.3181818181818182,True,True,False
Belgium,Sweden,0.4838709677419355,0.2727272727272727,True,True,False
Belgium,Switzerland,0.1111111111111111,0.0625,False,False,False
Belgium,Türkiye,0.3793103448275862,0.17647058823529413,False,True,False
Belgium,Ukraine,0.4666666666666667,0.14285714285714285,False,False,False
Belgium,United Kingdom,0.6585365853658537,0.2,False,True,False
Belgium,United States,0.6410256410256411,0.17857142857142858,False,True,False
Belgium,Uruguay,0.6666666666666666,0.2916666666666667,False,False,False
Belgium,Venezuela,0.18518518518518517,0.1875,False,False,False
Brazil,Bulgaria,0.3793103448275862,0.3157894736842105,False,False,False
Brazil,Canada,0.37037037037037035,0.2222222222222222,False,False,False
Brazil,Chile,0.7222222222222222,0.16,False,False,False
Brazil,China,0.59375,0.32,False,False,True
Brazil,Colombia,0.3333333333333333,0.2222222222222222,False,False,False
Brazil,Czechia,0.26666666666666666,0.23809523809523808,False,False,False
Brazil,Denmark,0.07407407407407407,0.058823529411764705,False,False,False
Brazil,Ecuador,0.6896551724137931,0.5263157894736842,False,False,False
Brazil,Estonia,0.14814814814814814,0.25,False,False,False
Brazil,Finland,0.5517241379310345,0.38095238095238093,False,False,False
Brazil,France,0.6578947368421053,0.25925925925925924,False,False,False
Brazil,Germany,0.6153846153846154,0.20689655172413793,False,False,False
Brazil,Greece,0.07407407407407407,0.058823529411764705,False,False,False
Brazil,Iceland,0.037037037037037035,0.0,False,False,False
Brazil,India,0.59375,0.38095238095238093,False,False,True
Brazil,Italy,0.6060606060606061,0.2916666666666667,False,False,False
Brazil,Japan,0.5757575757575758,0.2608695652173913,False,False,False
Brazil,Kazakhstan,0.037037037037037035,0.0625,False,False,False
Brazil,Korea (DPRK),0.07407407407407407,0.125,False,False,False
Brazil,Korea (ROK),0.5454545454545454,0.3333333333333333,False,False,False
Brazil,Malaysia,0.14814814814814814,0.17647058823529413,False,False,False
Brazil,Netherlands,0.5757575757575758,0.16,False,False,False
Brazil,New Zealand,0.5909090909090909,0.1935483870967742,False,False,False
Brazil,Norway,0.6097560975609756,0.25925925925925924,False,False,False
Brazil,Peru,0.7,0.45,False,False,False
Brazil,Poland,0.5517241379310345,0.35,False,False,False
Brazil,Portugal,0.26666666666666666,0.15,False,False,False
Brazil,Romania,0.5,0.47058823529411764,False,False,False
Brazil,Russian Federation,0.6052631578947368,0.2962962962962963,False,False,True
Brazil,Slovakia,0.037037037037037035,0.0,False,False,False
Brazil,South Africa,0.5714285714285714,0.25925925925925924,False,False,True
Brazil,Spain,0.6060606060606061,0.19230769230769232,False,False,False
Brazil,Sweden,0.3939393939393939,0.15384615384615385,False,False,False
Brazil,Switzerland,0.1111111111111111,0.1875,False,False,False
Brazil,Türkiye,0.42857142857142855,0.2222222222222222,False,False,False
Brazil,Ukraine,0.41935483870967744,0.23809523809523808,False,False,False
Brazil,United Kingdom,0.6585365853658537,0.26666666666666666,False,False,False
Brazil,United States,0.6,0.20689655172413793,False,False,False
Brazil,Uruguay,0.6666666666666666,0.375,False,False,False
Brazil,Venezuela,0.18518518518518517,0.16666666666666666,False,False,False
Bulgaria,Canada,0.4375,0.25,False,True,False
Bulgaria,Chile,0.37142857142857144,0.1,False,False,False
Bulgaria,China,0.37037037037037035,0.18181818181818182,False,False,False
Bulgaria,Colombia,0.375,0.25,False,False,False
Bulgaria,Czechia,0.3333333333333333,0.26666666666666666,True,True,False
Bulgaria,Denmark,0.15384615384615385,0.2222222222222222,True,True,False
Bulgaria,Ecuador,0.5217391304347826,0.29411764705882354,False,False,False
Bulgaria,Estonia,0.21428571428571427,0.18181818181818182,True,True,False
Bulgaria,Finland,0.55,0.375,True,True,False
Bulgaria,France,0.3611111111111111,0.22727272727272727,True,True,False
Bulgaria,Germany,0.3611111111111111,0.037037037037037035,True,True,False
Bulgaria,Greece,0.15384615384615385,0.1,True,True,False
Bulgaria,Iceland,0.07692307692307693,0.0,False,True,False
Bulgaria,India,0.5416666666666666,0.29411764705882354,False,False,False
Bulgaria,Italy,0.4444444444444444,0.2631578947368421,True,True,False
Bulgaria,Japan,0.46153846153846156,0.2222222222222222,False,False,False
Bulgaria,Kazakhstan,0.07692307692307693,0.1111111111111111,False,False,False
Bulgaria,Korea (DPRK),0.15384615384615385,0.2222222222222222,False,False,False
Bulgaria,Korea (ROK),0.37037037037037035,0.25,False,False,False
Bulgaria,Malaysia,0.21428571428571427,0.18181818181818182,False,False,False
Bulgaria,Netherlands,0.4074074074074074,0.2222222222222222,True,True,False
Bulgaria,New Zealand,0.2727272727272727,0.034482758620689655,False,False,False
Bulgaria,Norway,0.3,0.125,False,True,False
Bulgaria,Peru,0.4230769230769231,0.29411764705882354,False,False,False
Bulgaria,Poland,0.55,0.25,True,True,False
Bulgaria,Portugal,0.3333333333333333,0.3333333333333333,True,True,False
Bulgaria,Romania,0.47368421052631576,0.2857142857142857,True,True,False
Bulgaria,Russian Federation,0.34285714285714286,0.12,False,False,False
Bulgaria,Slovakia,0.07692307692307693,0.0,True,True,False
Bulgaria,South Africa,0.41379310344827586,0.125,False,False,False
Bulgaria,Spain,0.4444444444444444,0.2631578947368421,True,True,False
Bulgaria,Sweden,0.45454545454545453,0.2777777777777778,True,True,False
Bulgaria,Switzerland,0.23076923076923078,0.3333333333333333,False,False,False
Bulgaria,Türkiye,0.3684210526315789,0.25,False,True,False
Bulgaria,Ukraine,0.42857142857142855,0.1875,False,False,False
Bulgaria,United Kingdom,0.3170731707317073,0.06896551724137931,False,True,False
Bulgaria,United States,0.3157894736842105,0.07692307692307693,False,True,False
Bulgaria,Uruguay,0.41379310344827586,0.3,False,False,False
Bulgaria,Venezuela,0.2857142857142857,0.2727272727272727,False,False,False
Canada,Chile,0.2857142857142857,0.05555555555555555,False,False,False
Canada,China,0.25925925925925924,0.15,False,False,False
Canada,Colombia,0.35714285714285715,0.2,False,False,False
Canada,Czechia,0.3125,0.14285714285714285,False,True,False
Canada,Denmark,0.09090909090909091,0.14285714285714285,False,True,False
Canada,Ecuador,0.391304347826087,0.11764705882352941,False,False,False
Canada,Estonia,0.16666666666666666,0.1111111111111111,False,True,False
Canada,Finland,0.4,0.35714285714285715,False,True,False
Canada,France,0.24324324324324326,0.2,False,True,False
Canada,Germany,0.2777777777777778,0.13636363636363635,False,True,False
Canada,Greece,0.2,0.3333333333333333,False,True,False
Canada,Iceland,0.1,0.16666666666666666,False,True,False
Canada,India,0.36,0.26666666666666666,False,False,False
Canada,Italy,0.3333333333333333,0.16666666666666666,False,True,False
Canada,Japan,0.4,0.26666666666666666,False,False,False
Canada,Kazakhstan,0.1,0.16666666666666666,False,False,False
Canada,Korea (DPRK),0.09090909090909091,0.14285714285714285,False,False,False
Canada,Korea (ROK),0.36,0.29411764705882354,False,False,False
Canada,Malaysia,0.4,0.25,False,False,False
Canada,Netherlands,0.34615384615384615,0.1875,False,True,False
Canada,New Zealand,0.23255813953488372,0.038461538461538464,False,False,False
Canada,Norway,0.2564102564102564,0.09090909090909091,False,True,False
Canada,Peru,0.3076923076923077,0.35714285714285715,False,False,False
Canada,Poland,0.4,0.13333333333333333,False,True,False
Canada,Portugal,0.3125,0.18181818181818182,False,True,False
Canada,Romania,0.47058823529411764,0.25,False,True,False
Canada,Russian Federation,0.2571428571428571,0.25,False,False,False
Canada,Slovakia,0.1,0.16666666666666666,False,True,False
Canada,South Africa,0.3103448275862069,0.14285714285714285,False,False,False
Canada,Spain,0.38461538461538464,0.16666666666666666,False,True,False
Canada,Sweden,0.20833333333333334,0.25,False,True,False
Canada,Switzerland,0.3,0.5,False,False,False
Canada,Türkiye,0.35294117647058826,0.09090909090909091,False,True,False
Canada,Ukraine,0.2857142857142857,0.14285714285714285,False,False,False
Canada,United Kingdom,0.24390243902439024,0.037037037037037035,False,True,False
Canada,United States,0.23684210526315788,0.08695652173913043,False,True,False
Canada,Uruguay,0.35714285714285715,0.35294117647058826,False,False,False
Canada,Venezuela,0.36363636363636365,0.375,False,False,False
Chile,China,0.5526315789473685,0.25,False,False,False
Chile,Colombia,0.2571428571428571,0.1875,False,False,False
Chile,Czechia,0.2777777777777778,0.21052631578947367,False,False,False
Chile,Denmark,0.05714285714285714,0.0,False,False,False
Chile,Ecuador,0.5833333333333334,0.18181818181818182,False,False,False
Chile,Estonia,0.11428571428571428,0.13333333333333333,False,False,False
Chile,Finland,0.4722222222222222,0.13043478260869565,False,False,False
Chile,France,0.8205128205128205,0.19230769230769232,False,False,False
Chile,Germany,0.775,0.28,False,False,False
Chile,Greece,0.05714285714285714,0.07142857142857142,False,False,False
Chile,Iceland,0.02857142857142857,0.07692307692307693,False,False,False
Chile,India,0.5526315789473685,0.18181818181818182,False,False,False
Chile,Italy,0.6052631578947368,0.21739130434782608,False,False,False
Chile,Japan,0.6216216216216216,0.13043478260869565,False,False,False
Chile,Kazakhstan,0.02857142857142857,0.0,False,False,False
Chile,Korea (DPRK),0.05714285714285714,0.0,False,False,False
Chile,Korea (ROK),0.475,0.20833333333333334,False,False,False
Chile,Malaysia,0.11428571428571428,0.13333333333333333,False,False,False
Chile,Netherlands,0.6216216216216216,0.18181818181818182,False,False,False
Chile,New Zealand,0.7727272727272727,0.21428571428571427,False,False,False
Chile,Norway,0.7619047619047619,0.2916666666666667,False,False,False
Chile,Peru,0.6388888888888888,0.13043478260869565,False,False,False
Chile,Poland,0.4722222222222222,0.2631578947368421,False,False,False
Chile,Portugal,0.2777777777777778,0.05263157894736842,False,False,False
Chile,Romania,0.42857142857142855,0.15789473684210525,False,False,False
Chile,Russian Federation,0.725,0.18518518518518517,False,False,False
Chile,Slovakia,0.02857142857142857,0.07692307692307693,False,False,False
Chile,South Africa,0.7027027027027027,0.24,False,False,False
Chile,Spain,0.6052631578947368,0.2727272727272727,False,False,False
Chile,Sweden,0.42105263157894735,0.125,False,False,False
Chile,Switzerland,0.08571428571428572,0.0,False,False,False
Chile,Türkiye,0.3333333333333333,0.11764705882352941,False,False,False
Chile,Ukraine,0.4444444444444444,0.045454545454545456,False,False,False
Chile,United Kingdom,0.8536585365853658,0.2962962962962963,False,False,False
Chile,United States,0.8,0.3333333333333333,False,False,False
Chile,Uruguay,0.7027027027027027,0.25,False,False,False
Chile,Venezuela,0.14285714285714285,0.125,False,False,False
China,Colombia,0.2222222222222222,0.09523809523809523,False,False,False
China,Czechia,0.34615384615384615,0.17391304347826086,False,False,False
China,Denmark,0.08333333333333333,0.11764705882352941,False,False,False
China,Ecuador,0.4375,0.25,False,False,False
China,Estonia,0.12,0.16666666666666666,False,False,False
China,Finland,0.4482758620689655,0.30434782608695654,False,False,False
China,France,0.6216216216216216,0.2962962962962963,False,False,False
