actor_i,actor_j,geo_km,log_geo_km,jaccard_presence,jaccard_rpa,geo_thousand_km
Belgium,Netherlands,168.7741251293149,5.128561283263573,0.6774193548387096,0.42105263157894735,0.16877412512931492
Belgium,New Zealand,18504.474049316177,9.825767822331292,0.5909090909090909,0.16666666666666666,18.504474049316176
Belgium,Norway,3336.0264045344293,8.11253567847562,0.65,0.18518518518518517,3.3360264045344294
Belgium,Peru,10147.142808278602,9.224947448120975,0.7586206896551724,0.2857142857142857,10.147142808278602
Belgium,Poland,1007.1673457514646,6.91489706138593,0.5,0.13636363636363635,1.0071673457514647
Belgium,Portugal,1599.816165721547,7.37764400520274,0.3103448275862069,0.23529411764705882,1.5998161657215468
Belgium,Romania,1520.9761267528395,7.327107596378611,0.4482758620689655,0.2777777777777778,1.5209761267528394
Belgium,Russian Federation,5071.609177882274,8.53141343831425,0.6052631578947368,0.13793103448275862,5.071609177882274
Belgium,Slovakia,1090.2408394655874,6.9941539044546825,0.037037037037037035,0.07142857142857142,1.0902408394655874
Belgium,South Africa,9032.386675976712,9.108571916690858,0.7741935483870968,0.45454545454545453,9.032386675976712
Belgium,Spain,1348.3672607983654,7.206649703028331,0.65625,0.3181818181818182,1.3483672607983654
Belgium,Sweden,1435.9405176952769,7.269575326532472,0.4838709677419355,0.2727272727272727,1.4359405176952769
Belgium,Switzerland,493.41790875952535,6.201356500071177,0.1111111111111111,0.0625,0.49341790875952535
Belgium,Türkiye,2742.8847040782393,7.916765457271933,0.3793103448275862,0.17647058823529413,2.7428847040782394
Belgium,Ukraine,1888.0168494120455,7.543282271142342,0.4666666666666667,0.14285714285714285,1.8880168494120455
Belgium,United Kingdom,598.0347047702587,6.393648786999556,0.6585365853658537,0.2,0.5980347047702587
Belgium,United States,7765.46941821989,8.957442186842487,0.6410256410256411,0.17857142857142858,7.76546941821989
Belgium,Uruguay,10968.090752617634,9.302745495516602,0.6666666666666666,0.2916666666666667,10.968090752617634
Belgium,Venezuela,8057.6021601152115,8.994371292494133,0.18518518518518517,0.1875,8.057602160115211
Brazil,Bulgaria,9872.789969586567,9.197537764174047,0.3793103448275862,0.3157894736842105,9.872789969586567
Brazil,Canada,9633.264080641278,9.172977396545807,0.37037037037037035,0.2222222222222222,9.633264080641279
Brazil,Chile,4776.368186840503,8.471435743148083,0.7222222222222222,0.16,4.776368186840503
Brazil,China,15998.70875263162,9.680263295004735,0.59375,0.32,15.998708752631622
Brazil,Colombia,3214.6132966097457,8.075462348445079,0.3333333333333333,0.2222222222222222,3.2146132966097456
Brazil,Czechia,9518.252405448522,9.160966540077972,0.26666666666666666,0.23809523809523808,9.518252405448521
Brazil,Denmark,9540.39629986879,9.163290304446283,0.07407407407407407,0.058823529411764705,9.540396299868789
Brazil,Ecuador,3424.619410925265,8.138745623624208,0.6896551724137931,0.5263157894736842,3.4246194109252652
Brazil,Estonia,10508.124215552374,9.259903971781656,0.14814814814814814,0.25,10.508124215552375
Brazil,Finland,10831.204201417357,9.290186525080353,0.5517241379310345,0.38095238095238093,10.831204201417357
Brazil,France,8514.194422799548,9.04948998178623,0.6578947368421053,0.25925925925925924,8.514194422799548
