actor_a,actor_b,actor_c,actor_a_idx,actor_b_idx,actor_c_idx,regime_triplet,k_small,k_mid,k_large,union_topics,sum_support,coverage_efficiency,unique_topics,mean_pairwise_overlap,coverage_efficiency_null,mean_pairwise_overlap_null,coverage_efficiency_resid,mean_pairwise_overlap_resid,triplet_region_1_share_mean,triplet_region_2_share_mean,triplet_region_3_share_mean
Finland,India,Peru,13,16,25,1-2-2,13,13,13,23,39,0.5897435897435898,10,0.3228070175438596,0.6788622570822052,0.238681683721821,-0.0891186673386154,0.0841253338220386,0.348717664422741,0.6109543196291548,0.0403280159481042
Finland,India,Poland,13,16,26,2-2-2,11,13,13,25,37,0.6756756756756757,15,0.2414141414141414,0.6901712355774275,0.2248936830178989,-0.0144955599017518,0.0165204583962424,0.17654790486716562,0.7596229708998353,0.06382912423299897
Finland,India,Chile,13,16,27,2-2-2,13,13,13,28,39,0.717948717948718,19,0.2040843214756258,0.6788622570822052,0.238681683721821,0.0390864608665127,-0.0345973622461951,0.20733104502319946,0.7266083783093551,0.06606057666744526
Finland,India,Brazil,13,16,28,2-2-2,13,13,16,25,42,0.5952380952380952,13,0.353968253968254,0.6603855536975787,0.2574960961184759,-0.0651474584594834,0.096472157849778,0.211805150147394,0.7458746871433798,0.042320162709226096
Finland,India,Romania,13,16,29,2-2-2,9,13,13,21,35,0.6,10,0.3230392156862745,0.6933987542838161,0.2220824008243243,-0.0933987542838161,0.1009568148619501,0.2434620247873723,0.7162099592645235,0.0403280159481042
Finland,India,Ecuador,13,16,30,2-2-2,13,13,13,26,39,0.6666666666666666,17,0.2793650793650793,0.6788622570822052,0.238681683721821,-0.0121955904155385,0.0406833956432583,0.24104251720004696,0.6944875569441079,0.06446992585584498
Finland,India,Portugal,13,16,31,1-2-2,7,13,13,22,33,0.6666666666666666,13,0.242156862745098,0.7023532015738847,0.2174456460456729,-0.035686534907218,0.0247112166994251,0.38032346210896445,0.5189894789615949,0.10068705892944056
Finland,India,Colombia,13,16,32,1-2-2,6,13,13,21,32,0.65625,13,0.2777777777777777,0.7121967456484061,0.206843472475785,-0.055946745648406,0.0709343053019927,0.34123873621435274,0.6184332478375429,0.0403280159481042
Finland,India,Bulgaria,13,16,33,1-2-2,9,13,13,21,35,0.6,10,0.3230392156862745,0.6933987542838161,0.2220824008243243,-0.0933987542838161,0.1009568148619501,0.3938034278661766,0.5658685561857192,0.0403280159481042
Finland,India,Venezuela,13,16,34,1-2-2,5,13,13,21,31,0.6774193548387096,14,0.2619047619047618,0.7129751031548224,0.206639000841767,-0.0355557483161127,0.0552657610629948,0.37274463887424236,0.5869273451776534,0.0403280159481042
Finland,India,Türkiye,13,16,35,1-2-2,6,13,13,21,32,0.65625,14,0.3079365079365079,0.7121967456484061,0.206843472475785,-0.055946745648406,0.1010930354607229,0.3749961814957125,0.5846758025561832,0.0403280159481042
Finland,Italy,Czechia,13,17,18,2-2-2,10,13,15,25,38,0.6578947368421053,14,0.2483896940418679,0.6693575397259608,0.2473434210339132,-0.0114628028838554,0.0010462730079547,0.22638870770306194,0.6091110217755026,0.16450027052143543
Finland,Italy,Belgium,13,17,19,2-2-2,13,14,15,27,42,0.6428571428571429,16,0.2951910408432147,0.6608553952948166,0.2606499363918281,-0.0179982524376737,0.0345411044513866,0.27727150299564085,0.5692665627706671,0.1534619342336919
