time_unit,window_size,period_index,period_end,period_start,member,k_active,dominant_region,dominant_region_share,region_1_share,region_2_share,region_3_share
year,5,43,2008,2004,ASOC,15,3,0.6907638963442283,0.021554430010745754,0.287681673645026,0.6907638963442283
year,5,44,2009,2005,ASOC,14,3,0.6398443657651871,0.026879455500139007,0.33327617873467397,0.6398443657651871
year,5,45,2010,2006,ASOC,12,2,0.5506382688800862,0.06075138905111215,0.5506382688800862,0.38861034206880174
year,5,46,2011,2007,ASOC,14,2,0.6005936905839443,0.06957857281724376,0.6005936905839443,0.329827736598812
year,5,47,2012,2008,ASOC,13,2,0.7604201789163392,0.09341808439675918,0.7604201789163392,0.14616173668690163
year,5,48,2013,2009,ASOC,13,2,0.7063367107764525,0.11955194742165612,0.7063367107764525,0.17411134180189128
year,5,49,2014,2010,ASOC,13,2,0.6589463150921872,0.13697654915597007,0.6589463150921872,0.20407713575184278
year,5,50,2015,2011,ASOC,11,2,0.55754934725744,0.13877802862529148,0.55754934725744,0.3036726241172686
year,5,51,2016,2012,ASOC,10,2,0.5364970903266459,0.12957532021244195,0.5364970903266459,0.3339275894609121
year,5,52,2017,2013,ASOC,11,2,0.5100782531082266,0.10308360686549277,0.5100782531082266,0.38683814002628064
year,5,53,2018,2014,ASOC,9,3,0.5494021560937369,0.08070997382354117,0.36988787008272195,0.5494021560937369
year,5,54,2019,2015,ASOC,9,2,0.6003185226261417,0.14479495767565698,0.6003185226261417,0.2548865196982013
year,5,55,2020,2016,ASOC,8,2,0.5789533651935952,0.15254277724222018,0.5789533651935952,0.26850385756418454
year,5,56,2021,2017,ASOC,11,2,0.43552415820738216,0.20416011270745318,0.43552415820738216,0.3603157290851646
year,5,57,2022,2018,ASOC,9,2,0.46535634854912,0.20665844536743544,0.46535634854912,0.32798520608344456
year,5,58,2023,2019,ASOC,8,2,0.6413643680020734,0.2006217784060011,0.6413643680020734,0.1580138535919256
year,5,59,2024,2020,ASOC,7,2,0.7350836185500464,0.20970526988911709,0.7350836185500464,0.05521111156083645
year,5,60,2025,2021,ASOC,8,2,0.7192013723292121,0.20467814364956846,0.7192013723292121,0.07612048402121946
year,5,40,2005,2001,ATS,8,2,0.60523154729888,0.3947684527011201,0.60523154729888,0.0
year,5,41,2006,2002,ATS,9,2,0.6155648737075836,0.3844351262924164,0.6155648737075836,0.0
year,5,42,2007,2003,ATS,9,2,0.5293780763013641,0.47062192369863587,0.5293780763013641,0.0
year,5,43,2008,2004,ATS,9,1,0.5313919521300989,0.5313919521300989,0.4686080478699011,0.0
year,5,44,2009,2005,ATS,10,1,0.614401876610059,0.614401876610059,0.38559812338994104,0.0
year,5,0,1965,1961,Argentina,3,1,1.0,1.0,0.0,0.0
year,5,2,1967,1963,Argentina,3,1,0.7534565189300944,0.7534565189300944,0.0,0.2465434810699057
year,5,3,1968,1964,Argentina,3,1,0.8780288592431255,0.8780288592431255,0.0,0.12197114075687447
year,5,4,1969,1965,Argentina,4,1,0.48841566034424994,0.48841566034424994,0.3164955453283775,0.1950887943273725
year,5,5,1970,1966,Argentina,4,1,0.6431534647633939,0.6431534647633939,0.06466915819795895,0.2921773770386473
year,5,7,1972,1968,Argentina,6,3,0.5002743556058478,0.4738269305641253,0.025898713830027013,0.5002743556058478
year,5,8,1973,1969,Argentina,4,3,0.52571169411108,0.45335612615126997,0.02093217973765,0.52571169411108
year,5,9,1974,1970,Argentina,4,3,0.52571169411108,0.45335612615126997,0.02093217973765,0.52571169411108
year,5,10,1975,1971,Argentina,6,3,0.6130379956081579,0.3631475895019391,0.023814414889903057,0.6130379956081579
year,5,11,1976,1972,Argentina,6,3,0.6130379956081579,0.3631475895019391,0.023814414889903057,0.6130379956081579
year,5,12,1977,1973,Argentina,5,2,0.6669365709669969,0.2148264239137385,0.6669365709669969,0.11823700511926463
year,5,13,1978,1974,Argentina,5,2,0.6669365709669969,0.2148264239137385,0.6669365709669969,0.11823700511926463
year,5,14,1979,1975,Argentina,5,1,0.4736242115129662,0.4736242115129662,0.4174160987871163,0.10895968969991751
year,5,15,1980,1976,Argentina,4,1,0.6119278423316428,0.6119278423316428,0.37305000962958207,0.01502214803877513
year,5,16,1981,1977,Argentina,4,1,0.6613935625457206,0.6613935625457206,0.3386064374542794,0.0
year,5,17,1982,1978,Argentina,5,1,0.9473117455870604,0.9473117455870604,0.052688254412939554,0.0
year,5,18,1983,1979,Argentina,5,2,0.5135000099926055,0.48649999000739463,0.5135000099926055,0.0
