k,topic_order,topic,x_plot,region,region_anchor,region_anchor_x
4,27,Repair and remediation of environmental damage,0.4785603220035303,3,Search and Rescue,0.5782303524397047
4,28,Historic Sites and Monuments,0.4823429046539811,3,Search and Rescue,0.5782303524397047
4,29,Area Protection and Management Plans General,0.5004157993437484,3,Search and Rescue,0.5782303524397047
4,30,Mineral resources,0.5486928120359824,3,Search and Rescue,0.5782303524397047
4,31,Human Footprint and wilderness values,0.5570278693771726,3,Search and Rescue,0.5782303524397047
4,32,CEP Strategy Discussions,0.5652259283677754,3,Search and Rescue,0.5782303524397047
4,33,Search and Rescue,0.5782303524397047,3,Search and Rescue,0.5782303524397047
4,34,Site Guidelines for Visitors,0.5815045003879167,3,Search and Rescue,0.5782303524397047
4,35,Marine living resources,0.6072600948648526,3,Search and Rescue,0.5782303524397047
4,36,Specially Protected Species,0.6187624363507289,3,Search and Rescue,0.5782303524397047
4,37,Tourism and NG_Activities,0.6351007320692914,3,Search and Rescue,0.5782303524397047
4,38,Drilling,0.706743800577266,3,Search and Rescue,0.5782303524397047
4,39,Operation of the CEP,0.7077185661800908,4,Sub glacial Lakes,0.8368881874706654
4,40,Multiyear strategic workplan,0.7604580634912677,4,Sub glacial Lakes,0.8368881874706654
4,41,Marine Acoustics,0.7856949393318449,4,Sub glacial Lakes,0.8368881874706654
4,42,Sub glacial Lakes,0.8368881874706654,4,Sub glacial Lakes,0.8368881874706654
4,43,State of the Antarctic Environment Report SAER,0.913455015343537,4,Sub glacial Lakes,0.8368881874706654
4,44,Environmental Domains Analysis,1.0,4,Sub glacial Lakes,0.8368881874706654
5,0,Educational issues,0.0,1,Exchange of Information,0.1115886883252106
5,1,Science issues,0.0570158275246239,1,Exchange of Information,0.1115886883252106
5,2,Opening statements,0.072789875025554,1,Exchange of Information,0.1115886883252106
5,3,Exchange of Information,0.1115886883252106,1,Exchange of Information,0.1115886883252106
5,4,Operation of the Antarctic Treaty system The Secretariat,0.1239191250643634,1,Exchange of Information,0.1115886883252106
5,5,Operation of the Antarctic Treaty system General,0.1747690528081454,1,Exchange of Information,0.1115886883252106
5,6,Environmental Monitoring and Reporting,0.1887137517787509,1,Exchange of Information,0.1115886883252106
5,7,Operation of the Antarctic Treaty system Reports,0.1982528580975261,1,Exchange of Information,0.1115886883252106
5,8,Operational issues,0.2203005980925824,2,Cooperation with Other Organisations,0.311759645788881
5,9,Safety and Operations in Antarctica,0.2599556617261369,2,Cooperation with Other Organisations,0.311759645788881
5,10,Environmental Impact Assessment EIA Other EIA Matters,0.2605546487018962,2,Cooperation with Other Organisations,0.311759645788881
5,11,Environmental Protection General,0.2620042318963083,2,Cooperation with Other Organisations,0.311759645788881
5,12,Biological Prospecting,0.2728040707719594,2,Cooperation with Other Organisations,0.311759645788881
5,13,Comprehensive Environmental Evaluations,0.2840982040334893,2,Cooperation with Other Organisations,0.311759645788881
5,14,International Polar Year,0.3052279433304539,2,Cooperation with Other Organisations,0.311759645788881
5,15,Fauna and Flora_General,0.3076348840643275,2,Cooperation with Other Organisations,0.311759645788881
5,16,Cooperation with Other Organisations,0.311759645788881,2,Cooperation with Other Organisations,0.311759645788881
5,17,Management Plans,0.3369819084088453,2,Cooperation with Other Organisations,0.311759645788881
5,18,Inspections,0.347895543377593,2,Cooperation with Other Organisations,0.311759645788881
5,19,Liability,0.3591321581558954,2,Cooperation with Other Organisations,0.311759645788881
5,20,Nonnative Species and Quarantine,0.3687894715933,2,Cooperation with Other Organisations,0.311759645788881
5,21,Waste management and disposal,0.377663422851123,2,Cooperation with Other Organisations,0.311759645788881
5,22,Climate Change,0.3800837228694225,2,Cooperation with Other Organisations,0.311759645788881
5,23,Prevention of marine pollution,0.4071732495247113,3,Area Protection and Management Plans General,0.5004157993437484
5,24,Institutional and legal matters,0.4326060447198917,3,Area Protection and Management Plans General,0.5004157993437484
5,25,Marine Protected Areas,0.449159334827253,3,Area Protection and Management Plans General,0.5004157993437484
5,26,Emergency report and contingency planning,0.4714397070089904,3,Area Protection and Management Plans General,0.5004157993437484
5,27,Repair and remediation of environmental damage,0.4785603220035303,3,Area Protection and Management Plans General,0.5004157993437484
5,28,Historic Sites and Monuments,0.4823429046539811,3,Area Protection and Management Plans General,0.5004157993437484
5,29,Area Protection and Management Plans General,0.5004157993437484,3,Area Protection and Management Plans General,0.5004157993437484
5,30,Mineral resources,0.5486928120359824,3,Area Protection and Management Plans General,0.5004157993437484
5,31,Human Footprint and wilderness values,0.5570278693771726,3,Area Protection and Management Plans General,0.5004157993437484
5,32,CEP Strategy Discussions,0.5652259283677754,3,Area Protection and Management Plans General,0.5004157993437484
5,33,Search and Rescue,0.5782303524397047,3,Area Protection and Management Plans General,0.5004157993437484
5,34,Site Guidelines for Visitors,0.5815045003879167,3,Area Protection and Management Plans General,0.5004157993437484
5,35,Marine living resources,0.6072600948648526,4,Operation of the CEP,0.7077185661800908
5,36,Specially Protected Species,0.6187624363507289,4,Operation of the CEP,0.7077185661800908
5,37,Tourism and NG_Activities,0.6351007320692914,4,Operation of the CEP,0.7077185661800908
5,38,Drilling,0.706743800577266,4,Operation of the CEP,0.7077185661800908
5,39,Operation of the CEP,0.7077185661800908,4,Operation of the CEP,0.7077185661800908
5,40,Multiyear strategic workplan,0.7604580634912677,4,Operation of the CEP,0.7077185661800908
5,41,Marine Acoustics,0.7856949393318449,4,Operation of the CEP,0.7077185661800908
5,42,Sub glacial Lakes,0.8368881874706654,5,State of the Antarctic Environment Report SAER,0.913455015343537
5,43,State of the Antarctic Environment Report SAER,0.913455015343537,5,State of the Antarctic Environment Report SAER,0.913455015343537
5,44,Environmental Domains Analysis,1.0,5,State of the Antarctic Environment Report SAER,0.913455015343537
6,0,Educational issues,0.0,1,Opening statements,0.072789875025554
6,1,Science issues,0.0570158275246239,1,Opening statements,0.072789875025554
6,2,Opening statements,0.072789875025554,1,Opening statements,0.072789875025554
6,3,Exchange of Information,0.1115886883252106,1,Opening statements,0.072789875025554
6,4,Operation of the Antarctic Treaty system The Secretariat,0.1239191250643634,1,Opening statements,0.072789875025554
6,5,Operation of the Antarctic Treaty system General,0.1747690528081454,2,Operational issues,0.2203005980925824
6,6,Environmental Monitoring and Reporting,0.1887137517787509,2,Operational issues,0.2203005980925824
6,7,Operation of the Antarctic Treaty system Reports,0.1982528580975261,2,Operational issues,0.2203005980925824
6,8,Operational issues,0.2203005980925824,2,Operational issues,0.2203005980925824
6,9,Safety and Operations in Antarctica,0.2599556617261369,2,Operational issues,0.2203005980925824
6,10,Environmental Impact Assessment EIA Other EIA Matters,0.2605546487018962,2,Operational issues,0.2203005980925824
6,11,Environmental Protection General,0.2620042318963083,2,Operational issues,0.2203005980925824
6,12,Biological Prospecting,0.2728040707719594,2,Operational issues,0.2203005980925824
6,13,Comprehensive Environmental Evaluations,0.2840982040334893,3,Inspections,0.347895543377593
6,14,International Polar Year,0.3052279433304539,3,Inspections,0.347895543377593
6,15,Fauna and Flora_General,0.3076348840643275,3,Inspections,0.347895543377593
6,16,Cooperation with Other Organisations,0.311759645788881,3,Inspections,0.347895543377593
6,17,Management Plans,0.3369819084088453,3,Inspections,0.347895543377593
6,18,Inspections,0.347895543377593,3,Inspections,0.347895543377593
6,19,Liability,0.3591321581558954,3,Inspections,0.347895543377593
6,20,Nonnative Species and Quarantine,0.3687894715933,3,Inspections,0.347895543377593
6,21,Waste management and disposal,0.377663422851123,3,Inspections,0.347895543377593
6,22,Climate Change,0.3800837228694225,3,Inspections,0.347895543377593
6,23,Prevention of marine pollution,0.4071732495247113,3,Inspections,0.347895543377593
6,24,Institutional and legal matters,0.4326060447198917,3,Inspections,0.347895543377593
6,25,Marine Protected Areas,0.449159334827253,3,Inspections,0.347895543377593
