country,pioneer_score,topics_adopted,first_activity,abs_pioneer_score,intensity,pioneer_index,abs_pioneer_index,gdp_per_capita,residual,strategic_group,color,region_1_share,region_2_share,region_3_share,dominant_regime,dominant_regime_label,max_regime_share
Spain,5.818181818181818,22,1987.0,8.681818181818182,2.913896200814589,-5.818181818181818,-8.681818181818182,,,On-trend,gray7,0.17575562817352808,0.5714184148813536,0.25282595694511834,2,Mode 2,0.5714184148813536
Sweden,6.944444444444445,18,1987.0,11.5,6.028719976074643,-6.944444444444445,-11.5,,,On-trend,gray7,0.08257828173459937,0.5279869901142338,0.38943472815116686,2,Mode 2,0.5279869901142338
Switzerland,16.333333333333332,3,1991.0,23.333333333333332,5.937328881050807,-16.333333333333332,-23.333333333333332,,,On-trend,gray7,1.0,0.0,0.0,1,Mode 1,1.0
Türkiye,1.375,8,2017.0,31.5,5.661454650043646,-1.375,-31.5,,,On-trend,gray7,0.7486859445829391,0.25131405541706087,0.0,1,Mode 1,0.7486859445829391
UNEP,0.6666666666666666,9,1994.0,9.666666666666666,9.600655417672918,-0.6666666666666666,-9.666666666666666,,,On-trend,gray7,0.08095828641471486,0.9190417135852852,0.0,2,Mode 2,0.9190417135852852
Ukraine,11.133333333333333,15,1998.0,20.733333333333334,8.535844815684815,-11.133333333333333,-20.733333333333334,,,On-trend,gray7,0.19221378804946096,0.13946453034859807,0.6683216816019409,3,Mode 3,0.6683216816019409
United Kingdom,-5.638888888888889,36,1961.0,-5.638888888888889,2.5683926423625874,5.638888888888889,5.638888888888889,,,On-trend,gray7,0.005859313904279096,0.44192080784034815,0.5522198782553728,3,Mode 3,0.5522198782553728
United States,-6.516129032258065,31,1961.0,-6.516129032258065,2.5550039469795123,6.516129032258065,6.516129032258065,,,On-trend,gray7,0.046454612708852684,0.3069495794935279,0.6465958077976195,3,Mode 3,0.6465958077976195
Uruguay,8.73076923076923,26,1981.0,11.5,4.4515430683308335,-8.73076923076923,-11.5,,,On-trend,gray7,0.3432129556185593,0.6485579921762139,0.008229052205226838,2,Mode 2,0.6485579921762139
Venezuela,5.6,5,2007.0,27.0,78.31289160220771,-5.6,-27.0,,,On-trend,gray7,0.7419313167185287,0.25806868328147137,0.0,1,Mode 1,0.7419313167185287
WMO,9.75,12,1968.0,9.916666666666666,6.911326982685227,-9.75,-9.916666666666666,,,On-trend,gray7,0.19696498555692035,0.6135376581518733,0.18949735629120631,2,Mode 2,0.6135376581518733
