country,pioneer_score,topics_adopted,first_activity,abs_pioneer_score,intensity,pioneer_index,abs_pioneer_index,gdp_per_capita,residual,strategic_group,color
Denmark,3.5,2,1991,14.0,33.19626929572255,-3.5,-14.0,,,On-trend,gray7
Ecuador,8.45,20,1987,12.55,3.94128037900988,-8.45,-12.55,,,On-trend,gray7
Estonia,5.0,4,2002,28.0,11.258185886221984,-5.0,-28.0,,,On-trend,gray7
Finland,6.9411764705882355,17,1985,11.823529411764707,8.94532105818111,-6.9411764705882355,-11.823529411764707,,,On-trend,gray7
France,2.28125,32,1961,2.28125,3.9208967634640453,-2.28125,-2.28125,,,On-trend,gray7
Germany,4.451612903225806,31,1981,6.483870967741935,4.210767648218155,-4.451612903225806,-6.483870967741935,,,On-trend,gray7
Greece,2.0,2,1987,20.0,40.468246156901046,-2.0,-20.0,,,On-trend,gray7
IAATO,4.6,20,1992,6.95,3.9485888977463928,-4.6,-6.95,,,On-trend,gray7
ICAO,0.0,1,2019,10.0,13.454029187256808,-0.0,-10.0,,,On-trend,gray7
IGP&I Clubs,0.0,1,2017,21.0,147.832560296846,-0.0,-21.0,,,On-trend,gray7
IHO,6.2,5,1991,11.2,9.55611849547598,-6.2,-11.2,,,On-trend,gray7
IMO,-5.0,2,1998,-5.0,23.318029104581626,5.0,5.0,,,On-trend,gray7
IOC,2.0,3,1992,9.666666666666666,8.779512959952006,-2.0,-9.666666666666666,,,On-trend,gray7
IOPC Funds,0.0,1,2017,21.0,147.832560296846,-0.0,-21.0,,,On-trend,gray7
IPCC,0.0,1,2016,6.0,21.17080096189419,-0.0,-6.0,,,On-trend,gray7
IPY-IPO,0.0,1,2006,2.0,36.239797701618386,-0.0,-2.0,,,On-trend,gray7
IUCN,1.5384615384615385,13,1991,4.6923076923076925,9.407137564832608,-1.5384615384615385,-4.6923076923076925,,,On-trend,gray7
Iceland,0.0,1,2017,49.0,24.073508804525435,-0.0,-49.0,,,On-trend,gray7
India,12.826086956521738,23,1981,15.478260869565217,4.4933660203081365,-12.826086956521738,-15.478260869565217,,,On-trend,gray7
Italy,4.208333333333333,24,1987,7.708333333333333,3.6367779147783033,-4.208333333333333,-7.708333333333333,,,On-trend,gray7
Japan,3.0454545454545454,22,1961,3.0454545454545454,4.384259860472622,-3.0454545454545454,-3.0454545454545454,,,On-trend,gray7
Kazakhstan,0.0,1,2017,18.0,9.176469457491573,-0.0,-18.0,,,On-trend,gray7
Korea (DPRK),0.5,2,1991,15.0,6.949350476495043,-0.5,-15.0,,,On-trend,gray7
Korea (ROK),8.9,20,1981,11.5,4.422863972828283,-8.9,-11.5,,,On-trend,gray7
Malaysia,3.25,4,2013,27.0,7.2742055849613525,-3.25,-27.0,,,On-trend,gray7
Monaco,22.5,4,,22.5,12.924679907690017,-22.5,-22.5,,,On-trend,gray7
Netherlands,7.875,24,1985,11.333333333333334,4.118534754653957,-7.875,-11.333333333333334,,,On-trend,gray7
New Zealand,-0.9444444444444444,36,1961,-0.9444444444444444,3.3045527993546098,0.9444444444444444,0.9444444444444444,,,On-trend,gray7
Norway,-0.3235294117647059,34,1961,-0.3235294117647059,3.5089640439157215,0.3235294117647059,0.3235294117647059,,,On-trend,gray7
Peru,5.2272727272727275,22,1985,8.681818181818182,3.3776295782595285,-5.2272727272727275,-8.681818181818182,,,On-trend,gray7
Poland,6.1875,16,1977,7.875,4.419322877402027,-6.1875,-7.875,,,On-trend,gray7
Portugal,2.625,8,2015,19.25,4.522961463938535,-2.625,-19.25,,,On-trend,gray7
Romania,4.142857142857143,14,2002,17.285714285714285,5.778704804231498,-4.142857142857143,-17.285714285714285,,,On-trend,gray7
Russian Federation,0.6666666666666666,30,1961,0.6666666666666666,3.5611532063085676,-0.6666666666666666,-0.6666666666666666,,,On-trend,gray7
SCAR,0.2916666666666667,24,1972,0.7083333333333334,5.168547559124644,-0.2916666666666667,-0.7083333333333334,,,On-trend,gray7
Slovakia,0.0,1,1996,28.0,17.110067476383268,-0.0,-28.0,,,On-trend,gray7
