actor_i,actor_j,overlap_jaccard_rpa,exclusive_phi_proximity,complementarity_score,k_i,k_j,same_regime,regime_pair,pair_type,pair_label
Belarus,Peru,0.3157894736842105,0.3739743353333617,0.05818486164915121,12,13,0,1-2,Separate / weak,Belarus - Peru
Belarus,Poland,0.15,0.4275566396430367,0.2775566396430367,12,11,1,2-2,Complementary,Belarus - Poland
Belarus,Portugal,0.1875,0.3756232193732194,0.1881232193732194,12,7,0,1-2,Separate / weak,Belarus - Portugal
Belarus,Romania,0.23529411764705882,0.41461750565610855,0.17932338800904973,12,9,1,2-2,Aligned,Belarus - Romania
Belarus,Russian Federation,0.19230769230769232,0.3510994827918603,0.158791790484168,12,19,0,2-3,Separate / weak,Belarus - Russian Federation
Belarus,South Africa,0.15384615384615385,0.39102780687649774,0.2371816530303439,12,18,1,2-2,Complementary,Belarus - South Africa
Belarus,Spain,0.08,0.45627497207634515,0.37627497207634514,12,15,1,2-2,Complementary,Belarus - Spain
Belarus,Sweden,0.23809523809523808,0.35869725458974955,0.12060201649451147,12,14,1,2-2,Separate / weak,Belarus - Sweden
Belarus,Türkiye,0.2857142857142857,0.3570290004113533,0.07131471469706763,12,6,0,1-2,Separate / weak,Belarus - Türkiye
Belarus,Ukraine,0.2222222222222222,0.37754167809314876,0.15531945587092655,12,10,0,2-3,Separate / weak,Belarus - Ukraine
Belarus,United Kingdom,0.13333333333333333,0.3935051043047366,0.2601717709714033,12,22,0,2-3,Complementary,Belarus - United Kingdom
Belarus,United States,0.14814814814814814,0.4070925145116322,0.25894436636348406,12,19,0,2-3,Complementary,Belarus - United States
Belarus,Uruguay,0.20833333333333334,0.4097581415772939,0.20142480824396056,12,17,1,2-2,Complementary,Belarus - Uruguay
Belarus,Venezuela,0.21428571428571427,0.38391541408782787,0.1696296998021136,12,5,0,1-2,Complementary,Belarus - Venezuela
Belgium,Brazil,0.25,0.383525448203757,0.133525448203757,14,16,1,2-2,Aligned,Belgium - Brazil
Belgium,Bulgaria,0.35294117647058826,0.3708628542510122,0.017921677780423917,14,9,0,1-2,Separate / weak,Belgium - Bulgaria
Belgium,Canada,0.17647058823529413,0.3890588578088578,0.21258826957356367,14,6,0,1-2,Complementary,Belgium - Canada
Belgium,Chile,0.22727272727272727,0.41593371422177006,0.1886609869490428,14,13,1,2-2,Aligned,Belgium - Chile
Belgium,China,0.2916666666666667,0.34564943984586843,0.05398277317920175,14,17,1,2-2,Separate / weak,Belgium - China
Belgium,Colombia,0.17647058823529413,0.3934968653508111,0.21702627711551695,14,6,0,1-2,Complementary,Belgium - Colombia
Belgium,Czechia,0.2631578947368421,0.45252549342839726,0.18936759869155517,14,10,1,2-2,Aligned,Belgium - Czechia
Belgium,Ecuador,0.2857142857142857,0.3915031322843823,0.10578884657009663,14,13,1,2-2,Aligned,Belgium - Ecuador
Belgium,Finland,0.35,0.35191993464052285,0.001919934640522869,14,13,1,2-2,Separate / weak,Belgium - Finland
Belgium,France,0.3333333333333333,0.3950963748583718,0.061763041525038476,14,18,0,2-3,Aligned,Belgium - France
Belgium,Germany,0.17857142857142858,0.3763439822763779,0.1977725537049493,14,19,1,2-2,Separate / weak,Belgium - Germany
Belgium,India,0.125,0.39709245658647574,0.27209245658647574,14,13,1,2-2,Complementary,Belgium - India
Belgium,Italy,0.3181818181818182,0.37947802197802194,0.06129620379620376,14,15,1,2-2,Separate / weak,Belgium - Italy
Belgium,Japan,0.22727272727272727,0.4199929663416505,0.19272023906892324,14,13,1,2-2,Aligned,Belgium - Japan
Belgium,Korea (ROK),0.25,0.3807937898337473,0.1307937898337473,14,16,0,2-3,Separate / weak,Belgium - Korea (ROK)
Belgium,Netherlands,0.42105263157894735,0.3481162181471779,-0.07293641343176943,14,13,1,2-2,Separate / weak,Belgium - Netherlands
Belgium,New Zealand,0.16666666666666666,0.36093844344113735,0.1942717767744707,14,21,0,2-3,Separate / weak,Belgium - New Zealand
Belgium,Norway,0.18518518518518517,0.4063175128964603,0.2211323277112751,14,18,0,2-3,Complementary,Belgium - Norway
Belgium,Peru,0.2857142857142857,0.3678078049401579,0.08209351922587221,14,13,0,1-2,Separate / weak,Belgium - Peru
Belgium,Poland,0.13636363636363635,0.40697555758635306,0.2706119212227167,14,11,1,2-2,Complementary,Belgium - Poland
Belgium,Portugal,0.23529411764705882,0.3800683559735284,0.14477423832646957,14,7,0,1-2,Separate / weak,Belgium - Portugal
Belgium,Romania,0.2777777777777778,0.3782245950888192,0.10044681731104144,14,9,1,2-2,Separate / weak,Belgium - Romania
Belgium,Russian Federation,0.13793103448275862,0.3798594899252794,0.24192845544252078,14,19,0,2-3,Separate / weak,Belgium - Russian Federation
Belgium,South Africa,0.45454545454545453,0.32069537708808216,-0.13385007745737237,14,18,1,2-2,Separate / weak,Belgium - South Africa
Belgium,Spain,0.3181818181818182,0.39965808427253857,0.0814762660907204,14,15,1,2-2,Aligned,Belgium - Spain
Belgium,Sweden,0.2727272727272727,0.3653685130658815,0.09264124033860877,14,14,1,2-2,Separate / weak,Belgium - Sweden
Belgium,Türkiye,0.17647058823529413,0.375546431789626,0.19907584355433186,14,6,0,1-2,Separate / weak,Belgium - Türkiye
Belgium,Ukraine,0.14285714285714285,0.41368840558330744,0.2708312627261646,14,10,0,2-3,Complementary,Belgium - Ukraine
Belgium,United Kingdom,0.2,0.38048762388682456,0.18048762388682454,14,22,0,2-3,Separate / weak,Belgium - United Kingdom
Belgium,United States,0.17857142857142858,0.3807274968055691,0.20215606823414053,14,19,0,2-3,Separate / weak,Belgium - United States
Belgium,Uruguay,0.2916666666666667,0.4250917867146859,0.1334251200480192,14,17,1,2-2,Aligned,Belgium - Uruguay
Belgium,Venezuela,0.1875,0.3424512987012987,0.1549512987012987,14,5,0,1-2,Separate / weak,Belgium - Venezuela
Brazil,Bulgaria,0.3157894736842105,0.3857592076396256,0.06996973395541511,16,9,0,1-2,Aligned,Brazil - Bulgaria
Brazil,Canada,0.2222222222222222,0.35317587308202636,0.13095365085980415,16,6,0,1-2,Separate / weak,Brazil - Canada
Brazil,Chile,0.16,0.41812673655913224,0.2581267365591322,16,13,1,2-2,Complementary,Brazil - Chile
Brazil,China,0.32,0.3852742743367743,0.0652742743367743,16,17,1,2-2,Aligned,Brazil - China
Brazil,Colombia,0.2222222222222222,0.41740489568969874,0.19518267346747653,16,6,0,1-2,Aligned,Brazil - Colombia
Brazil,Czechia,0.23809523809523808,0.40995720614698505,0.17186196805174697,16,10,1,2-2,Aligned,Brazil - Czechia
Brazil,Ecuador,0.5263157894736842,0.35449420677361854,-0.17182158270006564,16,13,1,2-2,Separate / weak,Brazil - Ecuador
Brazil,Finland,0.38095238095238093,0.33254670010716836,-0.04840568084521257,16,13,1,2-2,Separate / weak,Brazil - Finland
Brazil,France,0.25925925925925924,0.40721791824733,0.14795865898807076,16,18,0,2-3,Aligned,Brazil - France
Brazil,Germany,0.20689655172413793,0.4064455360882312,0.19954898436409327,16,19,1,2-2,Complementary,Brazil - Germany
Brazil,India,0.38095238095238093,0.36899763613579406,-0.01195474481658687,16,13,1,2-2,Separate / weak,Brazil - India
Brazil,Italy,0.2916666666666667,0.3879052958135775,0.09623862914691084,16,15,1,2-2,Aligned,Brazil - Italy
Brazil,Japan,0.2608695652173913,0.379608742282338,0.11873917706494669,16,13,1,2-2,Separate / weak,Brazil - Japan
Brazil,Korea (ROK),0.3333333333333333,0.3792884944969891,0.04595516116365578,16,16,0,2-3,Separate / weak,Brazil - Korea (ROK)
Brazil,Netherlands,0.16,0.38369688590276824,0.22369688590276823,16,13,1,2-2,Complementary,Brazil - Netherlands
Brazil,New Zealand,0.1935483870967742,0.3221545053999415,0.12860611830316732,16,21,0,2-3,Separate / weak,Brazil - New Zealand
Brazil,Norway,0.25925925925925924,0.37081051369328877,0.11155125443402952,16,18,0,2-3,Separate / weak,Brazil - Norway
Brazil,Peru,0.45,0.33273513605847194,-0.11726486394152807,16,13,0,1-2,Separate / weak,Brazil - Peru
Brazil,Poland,0.35,0.36596825903714447,0.015968259037144494,16,11,1,2-2,Separate / weak,Brazil - Poland
Brazil,Portugal,0.15,0.36369402832722814,0.21369402832722814,16,7,0,1-2,Separate / weak,Brazil - Portugal
Brazil,Romania,0.47058823529411764,0.2800999710228919,-0.19048826427122573,16,9,1,2-2,Separate / weak,Brazil - Romania
Brazil,Russian Federation,0.2962962962962963,0.3863730256485938,0.09007672935229755,16,19,0,2-3,Aligned,Brazil - Russian Federation
Brazil,South Africa,0.25925925925925924,0.3849873065817338,0.12572804732247456,16,18,1,2-2,Aligned,Brazil - South Africa
Brazil,Spain,0.19230769230769232,0.4089260739963667,0.2166183816886744,16,15,1,2-2,Complementary,Brazil - Spain
Brazil,Sweden,0.15384615384615385,0.39106748675730874,0.23722133291115488,16,14,1,2-2,Complementary,Brazil - Sweden
Brazil,Türkiye,0.2222222222222222,0.40017119625582187,0.17794897403359966,16,6,0,1-2,Aligned,Brazil - Türkiye
Brazil,Ukraine,0.23809523809523808,0.3614105439481275,0.12331530585288941,16,10,0,2-3,Separate / weak,Brazil - Ukraine
Brazil,United Kingdom,0.26666666666666666,0.3448702001598807,0.07820353349321402,16,22,0,2-3,Separate / weak,Brazil - United Kingdom
Brazil,United States,0.20689655172413793,0.392744655669531,0.18584810394539306,16,19,0,2-3,Complementary,Brazil - United States
Brazil,Uruguay,0.375,0.37207976503538476,-0.0029202349646152426,16,17,1,2-2,Separate / weak,Brazil - Uruguay
Brazil,Venezuela,0.16666666666666666,0.4182692307692308,0.2516025641025641,16,5,0,1-2,Complementary,Brazil - Venezuela
Bulgaria,Canada,0.25,0.4072161172161173,0.15721611721611728,9,6,1,1-1,Aligned,Bulgaria - Canada
Bulgaria,Chile,0.1,0.38852902270224443,0.28852902270224445,9,13,0,1-2,Complementary,Bulgaria - Chile
Bulgaria,China,0.18181818181818182,0.3692544378698225,0.18743625605164066,9,17,0,1-2,Separate / weak,Bulgaria - China
Bulgaria,Colombia,0.25,0.4197595001347537,0.16975950013475372,9,6,1,1-1,Aligned,Bulgaria - Colombia
Bulgaria,Czechia,0.26666666666666666,0.41154679138163713,0.14488012471497047,9,10,0,1-2,Aligned,Bulgaria - Czechia
Bulgaria,Ecuador,0.29411764705882354,0.4497904668860551,0.15567281982723158,9,13,0,1-2,Aligned,Bulgaria - Ecuador
Bulgaria,Finland,0.375,0.365759534583064,-0.009240465416936017,9,13,0,1-2,Separate / weak,Bulgaria - Finland
Bulgaria,France,0.22727272727272727,0.35758333600490955,0.13031060873218228,9,18,0,1-3,Separate / weak,Bulgaria - France
Bulgaria,Germany,0.037037037037037035,0.4122859952510421,0.37524895821400506,9,19,0,1-2,Complementary,Bulgaria - Germany
Bulgaria,India,0.29411764705882354,0.34428714667685256,0.05016949961802902,9,13,0,1-2,Separate / weak,Bulgaria - India
Bulgaria,Italy,0.2631578947368421,0.39027900988330555,0.12712111514646346,9,15,0,1-2,Aligned,Bulgaria - Italy
Bulgaria,Japan,0.2222222222222222,0.3623099415204678,0.1400877192982456,9,13,0,1-2,Separate / weak,Bulgaria - Japan
Bulgaria,Korea (ROK),0.25,0.34295145819561806,0.09295145819561806,9,16,0,1-3,Separate / weak,Bulgaria - Korea (ROK)
Bulgaria,Netherlands,0.2222222222222222,0.3772885739991003,0.1550663517768781,9,13,0,1-2,Separate / weak,Bulgaria - Netherlands
Bulgaria,New Zealand,0.034482758620689655,0.3765182415656921,0.3420354829450024,9,21,0,1-3,Separate / weak,Bulgaria - New Zealand
