time_unit,window_size,period_index,period_end,period_start,member,k_active,dominant_region,dominant_region_share,region_1_share,region_2_share,region_3_share
year,1,34,1995,1995,Argentina,3,2,0.6506132216571942,0.34938677834280585,0.6506132216571942,0.0
year,1,35,1996,1996,Argentina,6,2,0.8430346820809248,0.06644508670520231,0.8430346820809248,0.09052023121387284
year,1,36,1997,1997,Argentina,6,2,0.8730146996705246,0.0844280645433809,0.8730146996705246,0.04255723578609446
year,1,38,1999,1999,Argentina,5,2,0.6831142666818307,0.013322718484459525,0.6831142666818307,0.3035630148337097
year,1,40,2001,2001,Argentina,4,3,0.9594548551959114,0.03611584327086882,0.004429301533219758,0.9594548551959114
year,1,41,2002,2002,Argentina,7,3,0.5858797525583799,0.38082183916294693,0.03329840827867323,0.5858797525583799
year,1,42,2003,2003,Argentina,7,2,0.6974098575474491,0.2636428963943019,0.6974098575474491,0.03894724605824915
year,1,43,2004,2004,Argentina,5,2,0.5161764705882353,0.48382352941176465,0.5161764705882353,0.0
year,1,44,2005,2005,Argentina,5,3,0.5368736063842272,0.3986151860110315,0.06451120760474123,0.5368736063842272
year,1,45,2006,2006,Argentina,8,2,0.5160167443810969,0.33267642174140233,0.5160167443810969,0.15130683387750077
year,1,46,2007,2007,Argentina,5,1,0.8621870904270499,0.8621870904270499,0.04040055572552534,0.09741235384742485
year,1,47,2008,2008,Argentina,6,2,0.82208426392096,0.0975129651360866,0.82208426392096,0.08040277094295341
year,1,48,2009,2009,Argentina,6,2,0.6400933406044311,0.13255380401009498,0.6400933406044311,0.2273528553854739
year,1,49,2010,2010,Argentina,8,2,0.4947496331621424,0.2788770176082171,0.4947496331621424,0.22637334922964047
