period_idx,period_start,period_end,period_label,period_mid,actor_a,actor_b,collaboration_count,presence_jaccard,specialized_jaccard,presence_active_a,presence_active_b,specialized_active_a,specialized_active_b
0,1961,1970,1961-1970,1965.5,ASOC,Monaco,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Netherlands,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,New Zealand,0,0.0,0.0,0,12,0,7
0,1961,1970,1961-1970,1965.5,ASOC,Norway,0,0.0,0.0,0,2,0,2
0,1961,1970,1961-1970,1965.5,ASOC,Peru,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Poland,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Portugal,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Romania,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Russian Federation,0,0.0,0.0,0,7,0,4
0,1961,1970,1961-1970,1965.5,ASOC,SCAR,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Slovakia,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,South Africa,0,0.0,0.0,0,5,0,3
0,1961,1970,1961-1970,1965.5,ASOC,Spain,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Sweden,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Switzerland,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Türkiye,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,UNEP,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Ukraine,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,United Kingdom,0,0.0,0.0,0,16,0,11
0,1961,1970,1961-1970,1965.5,ASOC,United States,0,0.0,0.0,0,14,0,12
0,1961,1970,1961-1970,1965.5,ASOC,Uruguay,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,Venezuela,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ASOC,WMO,0,0.0,0.0,0,1,0,1
0,1961,1970,1961-1970,1965.5,ASOC,WTO,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Argentina,0,0.0,0.0,0,7,0,4
0,1961,1970,1961-1970,1965.5,ATS,Australia,0,0.0,0.0,0,14,0,9
0,1961,1970,1961-1970,1965.5,ATS,Austria,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Belarus,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Belgium,0,0.0,0.0,0,6,0,4
0,1961,1970,1961-1970,1965.5,ATS,Brazil,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Bulgaria,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,CCAMLR,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,COMNAP,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Canada,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Chile,0,0.0,0.0,0,9,0,6
0,1961,1970,1961-1970,1965.5,ATS,China,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Colombia,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Czechia,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Denmark,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Ecuador,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Estonia,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Finland,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,France,0,0.0,0.0,0,6,0,5
0,1961,1970,1961-1970,1965.5,ATS,Germany,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Greece,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,IAATO,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,ICAO,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,IGP&I Clubs,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,IHO,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,IMO,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,IOC,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,IOPC Funds,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,IPCC,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,IPY-IPO,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,IUCN,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Iceland,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,India,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Italy,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Japan,0,0.0,0.0,0,6,0,5
0,1961,1970,1961-1970,1965.5,ATS,Kazakhstan,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Korea (DPRK),0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Korea (ROK),0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Malaysia,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Monaco,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Netherlands,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,New Zealand,0,0.0,0.0,0,12,0,7
0,1961,1970,1961-1970,1965.5,ATS,Norway,0,0.0,0.0,0,2,0,2
0,1961,1970,1961-1970,1965.5,ATS,Peru,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Poland,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Portugal,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Romania,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Russian Federation,0,0.0,0.0,0,7,0,4
0,1961,1970,1961-1970,1965.5,ATS,SCAR,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Slovakia,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,South Africa,0,0.0,0.0,0,5,0,3
0,1961,1970,1961-1970,1965.5,ATS,Spain,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Sweden,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Switzerland,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Türkiye,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,UNEP,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Ukraine,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,United Kingdom,0,0.0,0.0,0,16,0,11
0,1961,1970,1961-1970,1965.5,ATS,United States,0,0.0,0.0,0,14,0,12
0,1961,1970,1961-1970,1965.5,ATS,Uruguay,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,Venezuela,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ATS,WMO,0,0.0,0.0,0,1,0,1
0,1961,1970,1961-1970,1965.5,ATS,WTO,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,Argentina,Australia,4,0.5,0.3,7,14,4,9
0,1961,1970,1961-1970,1965.5,Argentina,Austria,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,Belarus,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,Belgium,2,0.4444444444444444,0.14285714285714285,7,6,4,4
0,1961,1970,1961-1970,1965.5,Argentina,Brazil,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,Bulgaria,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,CCAMLR,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,COMNAP,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,Canada,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,Chile,0,0.45454545454545453,0.25,7,9,4,6
0,1961,1970,1961-1970,1965.5,Argentina,China,0,0.0,0.0,7,0,4,0
