member,period_end,prior_breadth,breadth,n_added,retained_fraction,displacement_portfolio,displacement,null_displacement_mean,null_displacement_p05,delta_vs_null
South Africa,2009,9,7,1,0.8571428571428571,0.08035714285714286,0.5625,0.610006689820535,0.45104895104895115,-0.047506689820534964
Spain,2009,9,7,0,1.0,0.0,,,,
Sweden,2009,10,9,0,1.0,0.0,,,,
UNEP,2009,5,4,0,1.0,0.0,,,,
Ukraine,2009,7,7,0,1.0,0.0,,,,
United Kingdom,2009,17,15,1,0.9333333333333333,0.035897435897435895,0.5384615384615384,0.552651171586056,0.4375,-0.014189633124517598
United States,2009,10,10,2,0.8,0.10454545454545454,0.5227272727272727,0.5875567596818297,0.47491071428571424,-0.06482948695455704
Uruguay,2009,10,10,1,0.9,0.05384615384615384,0.5384615384615384,0.5908749329017838,0.4375,-0.0524133944402454
Venezuela,2009,2,2,0,1.0,0.0,,,,
ACAP,2010,2,2,0,1.0,0.0,,,,
ASOC,2010,14,12,2,0.8333333333333334,0.09000000000000001,0.54,0.5687345050740334,0.49140340909090907,-0.028734505074033412
ATS,2010,10,1,0,1.0,0.0,,,,
Argentina,2010,11,11,2,0.8181818181818182,0.08522727272727272,0.46875,0.5721475754295348,0.46198492177194006,-0.10339757542953476
Australia,2010,14,13,2,0.8461538461538461,0.08522727272727272,0.5539772727272727,0.5715506893692585,0.45875,-0.01757341664198575
Belarus,2010,2,2,0,1.0,0.0,,,,
Belgium,2010,10,9,1,0.8888888888888888,0.0606060606060606,0.5454545454545454,0.6106167843312873,0.44999999999999996,-0.06516223887674188
Brazil,2010,10,10,0,1.0,0.0,,,,
Bulgaria,2010,4,4,0,1.0,0.0,,,,
CCAMLR,2010,2,2,0,1.0,0.0,,,,
COMNAP,2010,11,11,2,0.8181818181818182,0.08495867768595042,0.4672727272727273,0.5978409434494547,0.5043989661654136,-0.13056821617672743
Canada,2010,2,2,0,1.0,0.0,,,,
Chile,2010,9,10,1,0.9,0.06666666666666668,0.6666666666666667,0.5970966705419238,0.3846153846153846,0.0695699961247429
China,2010,9,8,0,1.0,0.0,,,,
Czechia,2010,3,2,0,1.0,0.0,,,,
Ecuador,2010,9,8,1,0.875,0.0703125,0.5625,0.6188620398632422,0.48275862068965514,-0.056362039863242175
Finland,2010,5,4,0,1.0,0.0,,,,
France,2010,12,15,4,0.7333333333333333,0.1559125085440875,0.5846719070403281,0.589778600955155,0.5343536115464994,-0.005106693914826876
Germany,2010,12,11,2,0.8181818181818182,0.09431818181818183,0.51875,0.5787115730931554,0.45391244468006636,-0.05996157309315531
IAATO,2010,7,6,1,0.8333333333333334,0.07291666666666667,0.4375,0.6150826453813497,0.4666666666666667,-0.1775826453813497
IHO,2010,3,2,0,1.0,0.0,,,,
IPY-IPO,2010,1,1,0,1.0,0.0,,,,
IUCN,2010,3,3,0,1.0,0.0,,,,
India,2010,9,8,0,1.0,0.0,,,,
Italy,2010,7,5,1,0.8,0.12307692307692308,0.6153846153846154,0.6139606092014814,0.4375,0.0014240061831339856
Japan,2010,8,9,2,0.7777777777777778,0.1111111111111111,0.5,0.6734484878173852,0.5650000000000001,-0.1734484878173852
Korea (ROK),2010,6,6,0,1.0,0.0,,,,
Netherlands,2010,6,4,0,1.0,0.0,,,,
New Zealand,2010,14,17,4,0.7647058823529411,0.12418586315645139,0.5277899184149184,0.574588530762479,0.5137272267206477,-0.04679861234756055
