actor_i,actor_j,portfolio_emd_1d,geo_km,log_geo_km
Belgium,Netherlands,0.09072309471546229,168.7741251293149,5.128561283263573
Belgium,New Zealand,0.18639302478114889,18504.474049316177,9.825767822331292
Belgium,Norway,0.16860912805019723,3336.0264045344293,8.11253567847562
Belgium,Peru,0.06288196791906467,10147.142808278602,9.224947448120975
Belgium,Poland,0.08473599980224217,1007.1673457514646,6.91489706138593
Belgium,Portugal,0.10346702159973073,1599.8161657215467,7.37764400520274
Belgium,Romania,0.0923404281496841,1520.9761267528395,7.327107596378611
Belgium,Russian Federation,0.055707499473784,5071.609177882274,8.53141343831425
Belgium,Slovakia,0.1798554145301143,1090.2408394655874,6.9941539044546825
Belgium,South Africa,0.055160193503689205,9032.386675976713,9.108571916690858
Belgium,Spain,0.11504497065339099,1348.3672607983654,7.206649703028331
Belgium,Sweden,0.058634295065422615,1435.9405176952769,7.269575326532472
Belgium,Switzerland,0.1567281457888638,493.41790875952535,6.201356500071177
Belgium,Türkiye,0.1862460273136279,2742.8847040782393,7.916765457271933
Belgium,Ukraine,0.07280059327621051,1888.0168494120458,7.543282271142342
Belgium,United Kingdom,0.17803409786429597,598.0347047702587,6.393648786999556
Belgium,United States,0.1598463149540902,7765.46941821989,8.957442186842487
Belgium,Uruguay,0.024075699243076457,10968.090752617634,9.302745495516602
Belgium,Venezuela,0.2099715618033549,8057.6021601152115,8.994371292494133
Brazil,Bulgaria,0.13470033658691216,9872.789969586567,9.197537764174047
Brazil,Canada,0.0878098966529945,9633.264080641278,9.172977396545807
Brazil,Chile,0.09697534398376556,4776.368186840503,8.471435743148083
Brazil,China,0.11759120476111114,15998.708752631619,9.680263295004735
Brazil,Colombia,0.16618773608469495,3214.6132966097457,8.075462348445079
Brazil,Czechia,0.04101920078241611,9518.252405448522,9.160966540077972
Brazil,Denmark,0.165210098123221,9540.39629986879,9.163290304446283
Brazil,Ecuador,0.02699052331658867,3424.619410925265,8.138745623624208
Brazil,Estonia,0.12443296143521465,10508.124215552374,9.259903971781657
Brazil,Finland,0.036857228594699885,10831.204201417357,9.290186525080353
Brazil,France,0.12384153438131593,8514.194422799548,9.04948998178623
Brazil,Germany,0.12884489999890938,9299.374674324934,9.137702437560783
Brazil,Greece,0.1894556107983534,9462.82563700744,9.155126310575762
Brazil,Iceland,0.1789875374772806,9175.469669058883,9.124288861700764
Brazil,India,0.053311713385052494,14563.897173069978,9.586300948920906
Brazil,Italy,0.04907682866889436,8937.407910632604,9.098000883243737
Brazil,Japan,0.04706466696118474,17438.23442208443,9.766420455072332
Brazil,Kazakhstan,0.2601225901046178,13090.844467139943,9.479668369209662
Brazil,Korea (DPRK),0.18719677776365512,17075.069435885656,9.74537475095404
Brazil,Korea (ROK),0.02002928530441624,17542.76015806587,9.77239661717557
Brazil,Malaysia,0.2282063230820831,16718.176795501127,9.724251837361765
Brazil,Netherlands,0.10827911864125259,9051.124900245513,9.110644327339239
Brazil,New Zealand,0.20445970829901736,12462.293204971784,9.430462820750018
Brazil,Norway,0.1865654244518752,11214.337950522307,9.324948412712697
Brazil,Peru,0.04481528440119613,2897.3163105872377,7.971540177375916
Brazil,Poland,0.10165612035659007,9846.271636128957,9.194848148413008
Brazil,Portugal,0.08540033808186215,7336.208653259806,8.900577455906388
Brazil,Romania,0.07437078123147708,9934.646282630954,9.203783551194682
Brazil,Russian Federation,0.07195924448251155,13933.604485147342,9.54205879031189
Brazil,Slovakia,0.1789875374772806,9732.986844029316,9.183276100738466
Brazil,South Africa,0.07480685150903423,7904.577791532178,8.97519733791133
Brazil,Spain,0.13291551397953702,7668.460298987979,8.944871130922577
Brazil,Sweden,0.08099703312402975,10141.11075969174,9.224352813521758
Brazil,Switzerland,0.13866146227099524,8889.899869375291,9.09267106515715
Brazil,Türkiye,0.1684222331348123,10568.775916307803,9.265659264807839
Brazil,Ukraine,0.08005345960242552,10515.55581839218,9.260610946311079
Brazil,United Kingdom,0.19601238016899378,8838.57588402054,9.086881043561137
Brazil,United States,0.17791299847195874,7706.805603913355,8.949859062145148
Brazil,Uruguay,0.023127650367995783,2128.6449918368894,7.663240902204428
Brazil,Venezuela,0.19190487828548636,2868.947854767061,7.9617006404125865
Bulgaria,Canada,0.059616694744921414,8197.920004563866,9.0116357430957
Bulgaria,Chile,0.2313510920903069,14001.215586099419,9.54689943240663
Bulgaria,China,0.2522915413480233,6125.92389080249,8.720284863352514
Bulgaria,Colombia,0.05098236214624855,10327.827398063999,9.2425972203481
Bulgaria,Czechia,0.13113148437444022,1072.614230449338,6.977854153708008
Bulgaria,Denmark,0.09617040482204883,1877.9136544649516,7.537916681323011
Bulgaria,Ecuador,0.11759972346169495,11233.397608386691,9.326646549470812
Bulgaria,Estonia,0.05290832543821038,1752.5314218486628,7.468816548476205
Bulgaria,Finland,0.12584431545959052,2482.5659763025687,7.817047972123103
Bulgaria,France,0.25821728248785725,1867.6341407373486,7.532427743470147
Bulgaria,Germany,0.2632206481054507,1469.5552047852198,7.292715052206917
Bulgaria,Greece,0.11828303100933937,493.81072635632995,6.20215229874144
Bulgaria,Iceland,0.1405839641092636,3654.9132463340125,8.203827636289056
Bulgaria,India,0.18482039220781407,5473.8243081553655,8.607732793388683
