actor_a,actor_b,actor_a_idx,actor_b_idx,regime_pair,k_small,k_large,union_topics,sum_support,distinct_share,pairwise_overlap,distinct_share_null,pairwise_overlap_null,distinct_share_resid,pairwise_overlap_resid
Finland,Venezuela,3,11,1-2,5,13,14,18,0.7777777777777778,0.2857142857142857,0.8279126259181881,0.2164173277561966,-0.05013484814041036,0.0692969579580891
Finland,Türkiye,3,12,1-2,6,13,15,19,0.7894736842105263,0.26666666666666666,0.8284442580287676,0.21548968397141,-0.038970573818241316,0.05117698269525667
India,Belarus,4,5,2-2,12,13,19,25,0.76,0.3157894736842105,0.8281435061490684,0.21602674089944435,-0.06814350614906839,0.09976273278476616
India,Canada,4,6,1-2,6,13,15,19,0.7894736842105263,0.26666666666666666,0.8284442580287676,0.21548968397141,-0.038970573818241316,0.05117698269525667
India,Poland,4,7,2-2,11,13,18,24,0.75,0.3333333333333333,0.8261088741144363,0.21894726535106926,-0.07610887411443634,0.11438606798226406
India,Brazil,4,8,2-2,13,16,21,29,0.7241379310344828,0.38095238095238093,0.8286092473044647,0.21518046937648108,-0.10447131626998196,0.16577191157589985
India,Portugal,4,9,1-2,7,13,17,20,0.85,0.17647058823529413,0.8276240256295879,0.21688114964858995,0.022375974370412055,-0.040410561413295826
India,Bulgaria,4,10,1-2,9,13,17,22,0.7727272727272727,0.29411764705882354,0.828568535665007,0.2152577730252133,-0.05584126293773428,0.07885987403361025
India,Venezuela,4,11,1-2,5,13,15,18,0.8333333333333334,0.2,0.8279126259181881,0.2164173277561966,0.005420707415145221,-0.016417327756196587
India,Türkiye,4,12,1-2,6,13,14,19,0.7368421052631579,0.35714285714285715,0.8284442580287676,0.21548968397141,-0.09160215276560979,0.14165317317144716
Belarus,Canada,5,6,1-2,6,12,14,18,0.7777777777777778,0.2857142857142857,0.8279126259181881,0.2164173277561966,-0.05013484814041036,0.0692969579580891
Belarus,Poland,5,7,2-2,11,12,20,23,0.8695652173913043,0.15,0.8267205812478826,0.21817985094729123,0.04284463614342171,-0.06817985094729123
Belarus,Brazil,5,8,2-2,12,16,20,28,0.7142857142857143,0.4,0.8287371981713318,0.21493309770053798,-0.11445148388561754,0.18506690229946204
Belarus,Portugal,5,9,1-2,7,12,16,19,0.8421052631578947,0.1875,0.8270772040301347,0.21769283796027827,0.015028059127759952,-0.030192837960278274
Belarus,Bulgaria,5,10,1-2,9,12,18,21,0.8571428571428571,0.16666666666666666,0.8268819106017585,0.21796340073084103,0.030260946541098566,-0.05129673406417437
Belarus,Venezuela,5,11,1-2,5,12,14,17,0.8235294117647058,0.21428571428571427,0.827318448853423,0.21734497154098323,-0.00378903708871714,-0.0030592572552689545
Belarus,Türkiye,5,12,1-2,6,12,14,18,0.7777777777777778,0.2857142857142857,0.8279126259181881,0.2164173277561966,-0.05013484814041036,0.0692969579580891
Canada,Poland,6,7,1-2,6,11,15,17,0.8823529411764706,0.13333333333333333,0.825790564972598,0.21931621458365486,0.05656237620387261,-0.08598288125032152
Canada,Brazil,6,8,1-2,6,16,18,22,0.8181818181818182,0.2222222222222222,0.8273878981207331,0.21724190000934027,-0.009206079938914868,0.0049803222128819435
Canada,Portugal,6,9,1-1,6,7,11,13,0.8461538461538461,0.18181818181818182,0.8270246250301874,0.21776662780679537,0.01912922112365878,-0.03594844598861355
