actor_a,actor_b,actor_c,actor_a_idx,actor_b_idx,actor_c_idx,regime_triplet,k_small,k_mid,k_large,union_topics,sum_support,coverage_efficiency,unique_topics,mean_pairwise_overlap,coverage_efficiency_null,mean_pairwise_overlap_null,coverage_efficiency_resid,mean_pairwise_overlap_resid
Argentina,Brazil,Portugal,24,28,31,1-2-2,7,16,16,29,39,0.7435897435897436,19,0.14333333333333334,0.6989685211501047,0.20493003864808673,0.04462122243963895,-0.06159670531475339
Argentina,Brazil,Colombia,24,28,32,1-2-2,6,16,16,26,38,0.6842105263157895,15,0.20074074074074075,0.7121310363523684,0.1892741228355805,-0.027920510036578916,0.011466617905160237
Argentina,Brazil,Bulgaria,24,28,33,1-2-2,9,16,16,26,41,0.6341463414634146,13,0.26208855472013365,0.6729832324798233,0.23964670217217277,-0.03883689101640864,0.022441852547960883
Argentina,Brazil,Venezuela,24,28,34,1-2-2,5,16,16,27,37,0.7297297297297297,17,0.14888888888888888,0.7133538738239863,0.18950237751155397,0.01637585590574342,-0.04061348862266509
Argentina,Brazil,Türkiye,24,28,35,1-2-2,6,16,16,26,38,0.6842105263157895,15,0.20074074074074075,0.7121310363523684,0.1892741228355805,-0.027920510036578916,0.011466617905160237
Argentina,Romania,Ecuador,24,29,30,2-2-2,9,13,16,24,38,0.631578947368421,13,0.2945526695526695,0.6666509306877729,0.2510826179060001,-0.03507198331935191,0.043470051646669394
Argentina,Romania,Portugal,24,29,31,1-2-2,7,9,16,26,32,0.8125,20,0.1111111111111111,0.7156372792478302,0.2003963826434953,0.09686272075216984,-0.08928527153238419
Argentina,Romania,Colombia,24,29,32,1-2-2,6,9,16,22,31,0.7096774193548387,13,0.18015873015873016,0.7263360062166235,0.1888754122347742,-0.016658586861784785,-0.008716682076044036
Argentina,Romania,Bulgaria,24,29,33,1-2-2,9,9,16,24,34,0.7058823529411765,16,0.2222222222222222,0.7007832006411828,0.21465916797759307,0.005099152299993692,0.007563054244629136
Argentina,Romania,Venezuela,24,29,34,1-2-2,5,9,16,24,30,0.8,18,0.11904761904761903,0.7284283021613045,0.18654976018183714,0.07157169783869555,-0.06750214113421811
Argentina,Romania,Türkiye,24,29,35,1-2-2,6,9,16,23,31,0.7419354838709677,15,0.1481074481074481,0.7263360062166235,0.1888754122347742,0.015599477654344218,-0.040767964127326084
Argentina,Ecuador,Portugal,24,30,31,1-2-2,7,13,16,26,36,0.7222222222222222,16,0.16488413547237077,0.70022839876586,0.2104207651000032,0.02199382345636225,-0.04553662962763244
Argentina,Ecuador,Colombia,24,30,32,1-2-2,6,13,16,23,35,0.6571428571428571,13,0.25844155844155847,0.7022850797321386,0.2110673351327567,-0.04514222258928147,0.04737422330880178
Argentina,Ecuador,Bulgaria,24,30,33,1-2-2,9,13,16,24,38,0.631578947368421,12,0.26759188523894406,0.6666509306877729,0.2510826179060001,-0.03507198331935191,0.016509267332943944
Argentina,Ecuador,Venezuela,24,30,34,1-2-2,5,13,16,24,34,0.7058823529411765,14,0.17272727272727273,0.6977854999575587,0.21703623399020625,0.008096852983617842,-0.044308961262933516
Argentina,Ecuador,Türkiye,24,30,35,1-2-2,6,13,16,24,35,0.6857142857142857,15,0.22828282828282828,0.7022850797321386,0.2110673351327567,-0.016570794017852886,0.017215493150071592
Argentina,Portugal,Colombia,24,31,32,1-1-2,6,7,16,25,29,0.8620689655172413,21,0.09393939393939395,0.7373909718351931,0.19137608804924053,0.12467799368204824,-0.09743669410984658
Argentina,Portugal,Bulgaria,24,31,33,1-1-2,7,9,16,24,32,0.75,16,0.17460317460317457,0.7156372792478302,0.2003963826434953,0.03436272075216984,-0.02579320804032073
Argentina,Portugal,Venezuela,24,31,34,1-1-2,5,7,16,26,28,0.9285714285714286,24,0.06666666666666667,0.7386225744094821,0.18996009143885031,0.1899488541619465,-0.12329342477218365
Argentina,Portugal,Türkiye,24,31,35,1-1-2,6,7,16,25,29,0.8620689655172413,21,0.09393939393939395,0.7373909718351931,0.19137608804924053,0.12467799368204824,-0.09743669410984658
Argentina,Colombia,Bulgaria,24,32,33,1-1-2,6,9,16,23,31,0.7419354838709677,16,0.18015873015873016,0.7263360062166235,0.1888754122347742,0.015599477654344218,-0.008716682076044036
Argentina,Colombia,Venezuela,24,32,34,1-1-2,5,6,16,22,27,0.8148148148148148,17,0.15833333333333333,0.7408291859991859,0.1974364994582749,0.07398562881562887,-0.03910316612494158
Argentina,Colombia,Türkiye,24,32,35,1-1-2,6,6,16,22,28,0.7857142857142857,18,0.2333333333333333,0.7383070415904287,0.19893673402645676,0.047407244123856995,0.03439659930687655
Argentina,Bulgaria,Venezuela,24,33,34,1-1-2,5,9,16,23,30,0.7666666666666667,16,0.1544011544011544,0.7284283021613045,0.18654976018183714,0.03823836450536222,-0.03214860578068274
Argentina,Bulgaria,Türkiye,24,33,35,1-1-2,6,9,16,23,31,0.7419354838709677,16,0.18015873015873016,0.7263360062166235,0.1888754122347742,0.015599477654344218,-0.008716682076044036
Argentina,Venezuela,Türkiye,24,34,35,1-1-2,5,6,16,23,27,0.8518518518518519,19,0.1074074074074074,0.7408291859991859,0.1974364994582749,0.11102266585266596,-0.09002909205086751
Peru,Poland,Chile,25,26,27,1-2-2,11,13,13,26,37,0.7027027027027027,16,0.19786422578184593,0.6905337157046135,0.22421494040974455,0.012168986998089215,-0.02635071462789862
Peru,Poland,Brazil,25,26,28,1-2-2,11,13,16,24,40,0.6,12,0.3333333333333333,0.6746953375738313,0.23721600329538228,-0.07469533757383129,0.09611733003795103
Peru,Poland,Romania,25,26,29,1-2-2,9,11,13,23,33,0.696969696969697,15,0.2235294117647059,0.6985869533639457,0.22144191328705398,-0.0016172563942487006,0.002087498477651911
Peru,Poland,Ecuador,25,26,30,1-2-2,11,13,13,25,37,0.6756756756756757,16,0.2571428571428571,0.6905337157046135,0.22421494040974455,-0.014858040028937869,0.03292791673311257
