time_unit,window_size,period_index,period_end,period_start,member,k_active,dominant_region,dominant_region_share,region_1_share,region_2_share,region_3_share
meeting,5,5,10,6,Argentina,6,2,0.5167404004530272,0.25187810950186773,0.5167404004530272,0.23138149004510514
meeting,5,6,11,7,Argentina,6,1,0.5700959461442009,0.5700959461442009,0.42048909322625083,0.009414960629548347
meeting,5,7,12,8,Argentina,7,2,0.6127627177388264,0.35917657435929395,0.6127627177388264,0.028060707901879763
meeting,5,8,13,9,Argentina,5,2,0.6912143024192502,0.3087856975807499,0.6912143024192502,0.0
meeting,5,9,14,10,Argentina,6,2,0.5521759365973107,0.39343330101940505,0.5521759365973107,0.054390762383284386
meeting,5,10,15,11,Argentina,8,2,0.4737287690476552,0.27495835933556545,0.4737287690476552,0.2513128716167795
meeting,5,11,16,12,Argentina,6,1,0.6652515147295113,0.6652515147295113,0.2978001658374817,0.036948319433007
meeting,5,12,17,13,Argentina,10,1,0.7263224273424397,0.7263224273424397,0.24091931871173417,0.03275825394582611
meeting,5,13,18,14,Argentina,8,2,0.6643058993493808,0.3356941006506192,0.6643058993493808,0.0
meeting,5,14,19,15,Argentina,6,2,0.7599902494845961,0.2400097505154038,0.7599902494845961,0.0
meeting,5,15,20,16,Argentina,6,2,0.899422342715137,0.100577657284863,0.899422342715137,0.0
meeting,5,16,21,17,Argentina,8,2,0.9334639188410914,0.05787217890755453,0.9334639188410914,0.008663902251354135
meeting,5,17,22,18,Argentina,11,2,0.9037570310515632,0.05372855213920805,0.9037570310515632,0.0425144168092287
meeting,5,18,23,19,Argentina,9,2,0.7948444328651504,0.08087662939087463,0.7948444328651504,0.12427893774397505
meeting,5,19,24,20,Argentina,9,3,0.6125871572875753,0.0687130393966349,0.3186998033157896,0.6125871572875753
