model,window_end,mean_active_topics_mean,mean_active_topics_q05,mean_active_topics_q25,mean_active_topics_q75,mean_active_topics_q95,mean_topic_popularity_mean,mean_topic_popularity_q05,mean_topic_popularity_q25,mean_topic_popularity_q75,mean_topic_popularity_q95,mean_active_topics_obs,mean_topic_popularity_obs
one_stage,1985,3.3984375,3.134375,3.3125,3.5,3.625,1.2083333333333333,1.1144444444444446,1.1777777777777778,1.2444444444444445,1.288888888888889,1.875,0.6666666666666666
one_stage,1987,3.207175925925926,3.037037037037037,3.111111111111111,3.2962962962962963,3.3703703703703702,1.9243055555555555,1.8222222222222222,1.8666666666666667,1.9777777777777779,2.022222222222222,2.5185185185185186,1.511111111111111
one_stage,1989,4.1416015625,3.9375,4.0,4.25,4.428125,1.4725694444444444,1.4,1.4222222222222223,1.511111111111111,1.5744444444444443,2.875,1.0222222222222221
one_stage,1991,4.05625,3.9,4.0,4.125,4.2,3.6055555555555556,3.466666666666667,3.5555555555555554,3.6666666666666665,3.7333333333333334,2.35,2.088888888888889
one_stage,1992,3.216517857142857,3.057142857142857,3.142857142857143,3.2857142857142856,3.424285714285714,2.501736111111111,2.3777777777777778,2.4444444444444446,2.5555555555555554,2.663333333333333,2.4857142857142858,1.9333333333333333
one_stage,1994,3.4956597222222223,3.3333333333333335,3.4166666666666665,3.5833333333333335,3.6624999999999996,2.796527777777778,2.6666666666666665,2.7333333333333334,2.8666666666666667,2.9299999999999997,2.6944444444444446,2.1555555555555554
one_stage,1995,2.6048519736842106,2.5,2.5526315789473686,2.6578947368421053,2.710526315789474,2.1996527777777777,2.111111111111111,2.1555555555555554,2.2444444444444445,2.2888888888888888,2.263157894736842,1.9111111111111112
one_stage,1996,3.793918918918919,3.5175675675675677,3.7027027027027026,3.918918918918919,4.077027027027027,3.1194444444444445,2.8922222222222222,3.0444444444444443,3.2222222222222223,3.352222222222222,3.3513513513513513,2.7555555555555555
one_stage,1997,3.624599358974359,3.4397435897435895,3.5384615384615383,3.698717948717949,3.7948717948717947,3.1413194444444446,2.9811111111111113,3.066666666666667,3.2055555555555557,3.2888888888888888,3.1025641025641026,2.688888888888889
one_stage,1998,2.8359375,2.6296875,2.78125,2.90625,2.96875,2.0166666666666666,1.87,1.9777777777777779,2.066666666666667,2.111111111111111,2.75,1.9555555555555555
