actor,column_index,k_active,centroid_coord,centroid_xplot,median_xplot,spread_coord,skew_xplot,dominant_region,dominant_region_share,peak_count,largest_peak_x,largest_peak_topic,peak_separation,region_1_share,region_2_share,region_3_share,cluster_id,centroid_xplot_raw_rca,localization_l1_xplot_raw_rca,localization_sd_xplot_raw_rca,entropy_raw_rca,entropy_norm_k_active_raw_rca,support_raw_rca,entropy_norm_support_raw_rca,concentration_hhi_raw_rca,effective_topics_raw_rca,compactness_pairwise_logdist_raw_rca,medoid_radius_logdist_raw_rca,medoid_topic_raw_rca,fuzzy_class
WMO,64,7,-0.345308485922855,0.3064769548120449,0.311759645788881,0.4270370734343692,0.1116678630885975,2,0.6135376581518733,5,0.311759645788881,Cooperation with Other Organisations,0.0914590476962985,0.1969649855569203,0.6135376581518733,0.1894973562912063,4,0.3064769548120449,0.1089198280204387,0.1488123248474296,2.918136348989949,1.0394611404713836,12,0.81399354899889,0.1759312351223274,5.684038990033159,1.0713008388498262,0.9078636919665064,Cooperation with Other Organisations,2
CCAMLR,10,6,-0.2429733024647276,0.3421383470223694,0.311759645788881,0.4545234015792113,0.5956973028438379,2,0.4666567109945525,3,0.311759645788881,Cooperation with Other Organisations,0.1135067876913548,0.2923611250086334,0.4666567109945525,0.2409821639968141,4,0.3421383470223694,0.1252034616958727,0.1583906604234435,2.4085949148925487,0.9317717043170244,11,0.6962400707435625,0.2497834601064824,4.0034676418274495,1.0336594728868136,0.7851754770873824,Operation of the Antarctic Treaty system Reports,1+2
China,14,17,-0.2563606630465349,0.3374731683395735,0.3369819084088453,0.4447539131859446,0.0323411111648342,2,0.6982724737981505,5,0.2840982040334893,Comprehensive Environmental Evaluations,0.1601790789691258,0.1601502918747308,0.6982724737981505,0.1415772343271186,9,0.3374731683395735,0.1259747353793477,0.1549862246711096,4.312395655231347,1.0550299348806316,24,0.9405520011457154,0.0599530719412354,16.679712442094313,1.1654374785857504,0.9843191140203464,Comprehensive Environmental Evaluations,2
South Africa,53,18,-0.2899955977325988,0.3257521887382699,0.3076348840643275,0.4947852952854576,0.073038319503794,2,0.50060154537158,7,0.2840982040334893,Comprehensive Environmental Evaluations,0.1725095157082786,0.3345173533163688,0.50060154537158,0.1648811013120512,9,0.3257521887382699,0.1435530952235394,0.1724209785806033,4.5524281721769,1.0917290288439927,28,0.9469715146865852,0.047972344765549,20.845343392890424,1.1994034566322045,0.945889501673126,Inspections,1+2
India,35,13,-0.3715155962565443,0.297344396402245,0.2840982040334893,0.4739839560264985,0.3865574096655078,2,0.7699816871043538,6,0.2840982040334893,Comprehensive Environmental Evaluations,0.2840982040334893,0.1962058863253673,0.7699816871043538,0.0338124265702788,10,0.297344396402245,0.1220820747426945,0.1651722035968043,4.331896940206541,1.170643834290769,24,0.944805315098038,0.0569890233125942,17.54723878166562,1.1932794415967414,0.9829584304286886,Environmental Impact Assessment EIA Other EIA Matters,2
Italy,36,15,-0.2910783050575938,0.3253748908309334,0.2840982040334893,0.5755895522806221,0.6093868244240007,2,0.4197592787657868,6,0.2840982040334893,Comprehensive Environmental Evaluations,0.1601790789691258,0.3314029032471537,0.4197592787657868,0.2488378179870594,9,0.3253748908309334,0.1590646792074194,0.2005793519141253,4.285693980136864,1.0969577660951484,26,0.9117644810115236,0.0643029866565935,15.55137719092961,1.2685525262037596,0.9882025157937568,Inspections,1+2
Czechia,16,10,-0.408481812288883,0.2844625440039424,0.2620042318963083,0.4459846629289569,0.1349090568907747,2,0.6748421214135858,4,0.2840982040334893,Comprehensive Environmental Evaluations,0.2840982040334893,0.1676665062832011,0.6748421214135858,0.1574913723032131,10,0.2844625440039424,0.1133372172638162,0.1554151118613718,3.1964201319055143,0.9622183384477792,11,0.9239726302682676,0.1254481592661488,7.971420273121867,0.9607974012515788,0.7547046323011781,Environmental Impact Assessment EIA Other EIA Matters,2
UNEP,58,9,-0.4475939329824753,0.2708328945608215,0.2728040707719594,0.2361152019513203,-0.3019001444354725,2,0.9190417135852852,1,0.2728040707719594,Biological Prospecting,,0.0809582864147148,0.9190417135852852,0.0,11,0.2708328945608216,0.0425996328699667,0.0822805660679867,2.4193554382971474,0.7632216652432924,11,0.6993505595726024,0.3075016665104201,3.2520148958806168,0.8353685033341718,0.5702925771470586,Biological Prospecting,2
Belgium,7,14,-0.3807765927480784,0.2941171580568116,0.2728040707719594,0.4812950685538175,0.0781580515987528,2,0.5553087443990795,5,0.2728040707719594,Biological Prospecting,0.2728040707719594,0.3203148921609379,0.5553087443990795,0.1243763634399825,12,0.2941171580568116,0.1366175026962906,0.1677199534763676,4.21295141633607,1.1065297306349549,27,0.8860254663058131,0.0721356589701189,13.862769319321442,1.213590757555029,0.993994886872782,Environmental Protection General,1+2
Netherlands,43,13,-0.2525207099917719,0.3388113012018766,0.2728040707719594,0.4716209033943164,0.5035094520530767,2,0.6796819817468703,5,0.2728040707719594,Biological Prospecting,0.0750914726056335,0.117292175909319,0.6796819817468703,0.2030258423438105,11,0.3388113012018766,0.1321252494099367,0.1643487356175401,4.015061681306048,1.085022858667998,25,0.8645964726786298,0.0942713843594491,10.607672803308803,1.1499800638732238,0.9624237409394516,Biological Prospecting,2
Belarus,6,12,-0.2845753999990976,0.3276409995138032,0.2840982040334893,0.4052264734369605,-0.1730230443691517,2,0.8281029699006369,4,0.2620042318963083,Environmental Protection General,0.1871551029309447,0.1004637725818336,0.8281029699006369,0.0714332575175295,12,0.3276409995138032,0.121729109161922,0.1412118463554127,3.44514608686157,0.9609991976676296,15,0.8818127875743524,0.1152836091823543,8.674260001855176,1.0510896756273975,0.8435055676908672,Environmental Impact Assessment EIA Other EIA Matters,2
IOC,29,3,-0.6443273412256892,0.2022759526063881,0.1982528580975261,0.2025629564736569,-0.17820426794385,1,0.8129776615370174,2,0.1982528580975261,Operation of the Antarctic Treaty system Reports,0.1135067876913548,0.8129776615370174,0.1870223384629825,0.0,5,0.2022759526063881,0.0444289458315576,0.0705884017010208,1.2869439351287573,0.8119712198510686,3,0.8119712198510686,0.4809179042599857,2.079356977858318,0.5564622909529743,0.3366426721783034,Operation of the Antarctic Treaty system Reports,1
IHO,27,4,-0.5084372983820462,0.2496304200687717,0.1982528580975261,0.2494249233810562,1.8265009342830176,1,0.6731252092792814,2,0.1982528580975261,Operation of the Antarctic Treaty system Reports,0.1135067876913548,0.6731252092792814,0.3268747907207185,0.0,5,0.2496304200687717,0.0679093027385855,0.0869186893416913,1.761780735068514,0.880890367534257,6,0.6815498230929888,0.3816898518791959,2.619928182729097,0.5980608177836498,0.3747411156774197,Operation of the Antarctic Treaty system Reports,1+2
Switzerland,56,3,-0.8528439759095382,0.1296128347952955,0.1887137517787509,0.1763861018536923,-0.0941829621872594,1,1.0,2,0.1887137517787509,Environmental Monitoring and Reporting,0.1159238767531969,1.0,0.0,0.0,6,0.1296128347952956,0.0611900065666208,0.0614663866922026,1.4722520207385497,0.9288876046396536,3,0.9288876046396536,0.3873586131863271,2.5815871029024478,0.5101317340480442,0.4049393314180609,Environmental Monitoring and Reporting,1
Canada,12,6,-0.6868711864669432,0.1874504282850828,0.1887137517787509,0.3598459937008881,1.1553791813810546,1,0.7223820582053262,3,0.1887137517787509,Environmental Monitoring and Reporting,0.1887137517787509,0.7223820582053262,0.2776179417946737,0.0,10,0.1874504282850828,0.0914197792518103,0.1253978219712875,2.9535803636871805,1.142600855085204,10,0.889116284073972,0.1483600920895411,6.740357099512051,0.9147735790065664,0.770245339011311,Opening statements,1+2
Australia,4,20,0.0436194239969872,0.4420091370831435,0.377663422851123,0.6667917089215087,0.3079846768869058,3,0.5534605439804879,7,0.1239191250643634,Operation of the Antarctic Treaty system The Secretariat,0.5837994411157273,0.2045027097100655,0.2420367463094466,0.5534605439804879,9,0.4420091370831435,0.1982567204912325,0.2323611474656903,4.948756590206997,1.1450344572046776,39,0.9363065260286436,0.0387353859457461,25.81618784954482,1.3752660477367151,1.1164026350591258,Inspections,3
Argentina,3,16,-0.1615626781073094,0.3705080250469872,0.3687894715933,0.5097258034099159,-0.1325231232051918,2,0.4050520462548065,6,0.1239191250643634,Operation of the Antarctic Treaty system The Secretariat,0.511181607004928,0.2919297285979167,0.4050520462548065,0.3030182251472767,9,0.3705080250469873,0.151973748217972,0.177627392465285,4.867815009316661,1.2169537523291654,37,0.934419538417148,0.041893698121837,23.86993855476205,1.320402323970811,1.0614766169952865,Inspections,1+2+3
ATS,2,8,-0.4537195527050358,0.2686982608984222,0.2620042318963083,0.3827397281028925,0.1146508139407182,2,0.5031094608518903,2,0.1239191250643634,Operation of the Antarctic Treaty system The Secretariat,0.2832541244603479,0.4968905391481097,0.5031094608518903,0.0,7,0.2686982608984222,0.125076810178452,0.1333757471977853,2.371906132026293,0.7906353773420979,10,0.7140148926392456,0.2683286424143092,3.726773224812741,1.0730615128160648,0.9361186398022658,Operation of the Antarctic Treaty system The Secretariat,1+2
Peru,46,13,-0.5638204557904193,0.2303306989812118,0.2599556617261369,0.3762551539835327,0.0692172916531726,1,0.6698503933640245,4,0.072789875025554,Opening statements,0.1877647736763422,0.6698503933640245,0.3301496066359754,0.0,12,0.2303306989812118,0.1113446353937102,0.1311160264138574,4.428465187650227,1.1967402592562315,24,0.9658672643350268,0.050607518236797,19.759909887714947,1.1755788433294934,0.9430142261080292,Exchange of Information,1+2
