draw,pair_key,pair_label,null_mean_jaccard
54,3-3,R3-R3,0.23006337649244568
55,1-1,R1-R1,0.07834968029697835
55,1-2,R1-R2,0.1154838767236219
55,1-3,R1-R3,0.12170925874452594
55,2-2,R2-R2,0.1772780141325636
55,2-3,R2-R3,0.20860814642548403
55,3-3,R3-R3,0.25094863699756736
56,1-1,R1-R1,0.09062115931310977
56,1-2,R1-R2,0.11985108958497813
56,1-3,R1-R3,0.12438730239142196
56,2-2,R2-R2,0.18628797756098764
56,2-3,R2-R3,0.20648053008072614
56,3-3,R3-R3,0.22758588814126068
57,1-1,R1-R1,0.06978910127305848
57,1-2,R1-R2,0.11122999485520792
57,1-3,R1-R3,0.11899387402535114
57,2-2,R2-R2,0.18953476841448932
57,2-3,R2-R3,0.20872349163101758
57,3-3,R3-R3,0.23135150820987477
58,1-1,R1-R1,0.09591170366571436
58,1-2,R1-R2,0.1161587330271719
58,1-3,R1-R3,0.13022058328440275
58,2-2,R2-R2,0.17771200867132322
58,2-3,R2-R3,0.20589519960451436
58,3-3,R3-R3,0.23815192900878612
59,1-1,R1-R1,0.08580344071654233
59,1-2,R1-R2,0.11235420399192501
59,1-3,R1-R3,0.12080592110850702
59,2-2,R2-R2,0.18332085908766366
59,2-3,R2-R3,0.2090925633111154
59,3-3,R3-R3,0.24898828160351988
60,1-1,R1-R1,0.0921577704331715
60,1-2,R1-R2,0.11532084731616289
60,1-3,R1-R3,0.11968006553792929
60,2-2,R2-R2,0.18834947807795757
60,2-3,R2-R3,0.20239945847374463
60,3-3,R3-R3,0.23086788994917512
61,1-1,R1-R1,0.07274538346695679
61,1-2,R1-R2,0.11879772081693125
61,1-3,R1-R3,0.11961361656011135
61,2-2,R2-R2,0.1903588765351758
61,2-3,R2-R3,0.2057842301951204
61,3-3,R3-R3,0.22260776855790337
62,1-1,R1-R1,0.06366821088711042
62,1-2,R1-R2,0.11233989960216093
62,1-3,R1-R3,0.10783524834078069
62,2-2,R2-R2,0.19539287571610475
62,2-3,R2-R3,0.20682879417648664
62,3-3,R3-R3,0.22879711586039514
63,1-1,R1-R1,0.0760851015195935
63,1-2,R1-R2,0.11658894930875234
63,1-3,R1-R3,0.12238908676572496
63,2-2,R2-R2,0.1831030392007391
63,2-3,R2-R3,0.21067093090252578
63,3-3,R3-R3,0.24097082318787486
64,1-1,R1-R1,0.08893056925353575
64,1-2,R1-R2,0.10868524327440458
64,1-3,R1-R3,0.11137202469990748
64,2-2,R2-R2,0.19016879307024925
64,2-3,R2-R3,0.20887550806720045
64,3-3,R3-R3,0.22448422979271984
65,1-1,R1-R1,0.07087817882568798
65,1-2,R1-R2,0.10565066853190655
65,1-3,R1-R3,0.11738097948279173
65,2-2,R2-R2,0.1970255202447834
65,2-3,R2-R3,0.20581645808697346
65,3-3,R3-R3,0.22989474983230448
66,1-1,R1-R1,0.07632247802702348
66,1-2,R1-R2,0.1153761683205696
66,1-3,R1-R3,0.11487343677827057
66,2-2,R2-R2,0.1860632042687356
66,2-3,R2-R3,0.2079262431702024
66,3-3,R3-R3,0.2389739296366833
67,1-1,R1-R1,0.08585041816290058
67,1-2,R1-R2,0.11164185366182126
67,1-3,R1-R3,0.11892252777964367
67,2-2,R2-R2,0.18248040655539535
67,2-3,R2-R3,0.21082000689020317
67,3-3,R3-R3,0.23715785994555239
68,1-1,R1-R1,0.06975017820781963
68,1-2,R1-R2,0.10511415994154369
68,1-3,R1-R3,0.1141515100241039
68,2-2,R2-R2,0.19229338946231062
68,2-3,R2-R3,0.20875755935682644
68,3-3,R3-R3,0.24358920754561847
69,1-1,R1-R1,0.09783680495578892
69,1-2,R1-R2,0.10774929532878093
69,1-3,R1-R3,0.11326563948663432
69,2-2,R2-R2,0.1820582945307954
69,2-3,R2-R3,0.2163162554073733
69,3-3,R3-R3,0.2356803031215297
70,1-1,R1-R1,0.08305814952838596
70,1-2,R1-R2,0.10762471164962067
70,1-3,R1-R3,0.11569312463316297
70,2-2,R2-R2,0.18779370069584939
70,2-3,R2-R3,0.21181466080244324
70,3-3,R3-R3,0.2274604664201174
71,1-1,R1-R1,0.07848521799056557
71,1-2,R1-R2,0.1014965025356253
71,1-3,R1-R3,0.11644606664701405
71,2-2,R2-R2,0.19616918371379527
71,2-3,R2-R3,0.20792570505427457
71,3-3,R3-R3,0.25093086064041675
72,1-1,R1-R1,0.08851389499785224
72,1-2,R1-R2,0.11366197868940299
72,1-3,R1-R3,0.11864661240581996
72,2-2,R2-R2,0.18925474323015587
72,2-3,R2-R3,0.2066351259390508
72,3-3,R3-R3,0.23427697954117288
73,1-1,R1-R1,0.0764660522681913
73,1-2,R1-R2,0.11500417125822307
73,1-3,R1-R3,0.12829530613024928
73,2-2,R2-R2,0.18714363627848155
73,2-3,R2-R3,0.20344099850910244
73,3-3,R3-R3,0.24530416533267765
74,1-1,R1-R1,0.076852846104183
74,1-2,R1-R2,0.1089413171599596
74,1-3,R1-R3,0.11774871035437186
74,2-2,R2-R2,0.1895399117510573
74,2-3,R2-R3,0.2071227257445243
74,3-3,R3-R3,0.24082664795262682
75,1-1,R1-R1,0.0727077042585064
75,1-2,R1-R2,0.11347054945066419
75,1-3,R1-R3,0.12073162251968765
75,2-2,R2-R2,0.19535818403562075
75,2-3,R2-R3,0.20296680366457295
75,3-3,R3-R3,0.21398945628699803
76,1-1,R1-R1,0.08322825538910537
76,1-2,R1-R2,0.11356232599837537
76,1-3,R1-R3,0.11624894368591941
76,2-2,R2-R2,0.18017437215076723
76,2-3,R2-R3,0.214859454804805
76,3-3,R3-R3,0.245119206448515
77,1-1,R1-R1,0.06532590743996597
77,1-2,R1-R2,0.10703155765156697
77,1-3,R1-R3,0.11506237634267394
77,2-2,R2-R2,0.18385470773509083
77,2-3,R2-R3,0.2141276585305873
77,3-3,R3-R3,0.2568758997470711
78,1-1,R1-R1,0.0839115389671258
78,1-2,R1-R2,0.1196809161751489
78,1-3,R1-R3,0.1256556060455802
78,2-2,R2-R2,0.1879410942465255
78,2-3,R2-R3,0.19876720702893474
78,3-3,R3-R3,0.23653408553770539
79,1-1,R1-R1,0.08646139214321033
79,1-2,R1-R2,0.11696051532874649
79,1-3,R1-R3,0.11703040957889638
79,2-2,R2-R2,0.18502343648956196
79,2-3,R2-R3,0.20234822967549979
79,3-3,R3-R3,0.23582719795468415
80,1-1,R1-R1,0.08379641865780339
80,1-2,R1-R2,0.11600505558979408
80,1-3,R1-R3,0.12537001451311314
80,2-2,R2-R2,0.18430917892549684
80,2-3,R2-R3,0.2061099148576239
80,3-3,R3-R3,0.2341210422788884
81,1-1,R1-R1,0.06669867344297403
81,1-2,R1-R2,0.11389967871493278
81,1-3,R1-R3,0.11764634584089312
81,2-2,R2-R2,0.18283205514197
81,2-3,R2-R3,0.21132442906796514
81,3-3,R3-R3,0.2411835777753974
82,1-1,R1-R1,0.09434803288412913
82,1-2,R1-R2,0.1131850566548795
82,1-3,R1-R3,0.11943447039174476
82,2-2,R2-R2,0.1839704701574194
82,2-3,R2-R3,0.2122003423955284
82,3-3,R3-R3,0.2268563371964523
83,1-1,R1-R1,0.0717402608779614
83,1-2,R1-R2,0.11252929882631835
83,1-3,R1-R3,0.11834408611995147
83,2-2,R2-R2,0.1881616867487797
83,2-3,R2-R3,0.20710212186295202
83,3-3,R3-R3,0.24545085116237
84,1-1,R1-R1,0.07489071262466984
84,1-2,R1-R2,0.1186094750365141
84,1-3,R1-R3,0.12278373810073906
84,2-2,R2-R2,0.1799067493413853
84,2-3,R2-R3,0.21230667823591823
84,3-3,R3-R3,0.23177510285602196
85,1-1,R1-R1,0.09275214783236173
85,1-2,R1-R2,0.10984255721786187
85,1-3,R1-R3,0.11336072616428271
85,2-2,R2-R2,0.19236062767683806
85,2-3,R2-R3,0.2088031575249951
85,3-3,R3-R3,0.21713250062944667
86,1-1,R1-R1,0.08644016157561049
86,1-2,R1-R2,0.11857740163476431
86,1-3,R1-R3,0.12814070419262066
86,2-2,R2-R2,0.18159499651102645
86,2-3,R2-R3,0.20280284648117677
86,3-3,R3-R3,0.2404308954324124
87,1-1,R1-R1,0.06154284539979727
87,1-2,R1-R2,0.11124990714582601
87,1-3,R1-R3,0.10410805984449906
87,2-2,R2-R2,0.18768207424782893
87,2-3,R2-R3,0.20974323698944855
87,3-3,R3-R3,0.2575405878907122
88,1-1,R1-R1,0.09013917356163346
88,1-2,R1-R2,0.119235657746581
88,1-3,R1-R3,0.1211887331697705
88,2-2,R2-R2,0.19403867641582948
88,2-3,R2-R3,0.20304075227066387
88,3-3,R3-R3,0.20957291886320684
89,1-1,R1-R1,0.10650831021820324
89,1-2,R1-R2,0.1243531867443639
89,1-3,R1-R3,0.1322703133054459
89,2-2,R2-R2,0.179146727776923
89,2-3,R2-R3,0.20060550124612184
89,3-3,R3-R3,0.23698196389367993
90,1-1,R1-R1,0.0975882925749236
90,1-2,R1-R2,0.11229196597491758
90,1-3,R1-R3,0.12968851619382454
90,2-2,R2-R2,0.1784131886850486
90,2-3,R2-R3,0.20814156145105772
90,3-3,R3-R3,0.24349804768514227
91,1-1,R1-R1,0.07097200706122744
91,1-2,R1-R2,0.11356502182378614
91,1-3,R1-R3,0.11867742522323013
91,2-2,R2-R2,0.18270500775634688
91,2-3,R2-R3,0.20934636003571286
91,3-3,R3-R3,0.24873903882066903
92,1-1,R1-R1,0.0919747253637628
92,1-2,R1-R2,0.11377993024143847
92,1-3,R1-R3,0.13083081633551544
92,2-2,R2-R2,0.17503625852180404
92,2-3,R2-R3,0.21016654805634763
92,3-3,R3-R3,0.24966109271263592
93,1-1,R1-R1,0.08198638606392616
93,1-2,R1-R2,0.11631202512487307
93,1-3,R1-R3,0.13001147455417555
93,2-2,R2-R2,0.18054236281577096
