actor,column_index,k_active,centroid_coord,centroid_xplot,median_xplot,spread_coord,skew_xplot,dominant_region,dominant_region_share,peak_count,largest_peak_x,largest_peak_topic,peak_separation,region_1_share,region_2_share,region_3_share,cluster_id,centroid_xplot_raw_rca,localization_l1_xplot_raw_rca,localization_sd_xplot_raw_rca,entropy_raw_rca,entropy_norm_k_active_raw_rca,support_raw_rca,entropy_norm_support_raw_rca,concentration_hhi_raw_rca,effective_topics_raw_rca,compactness_pairwise_logdist_raw_rca,medoid_radius_logdist_raw_rca,medoid_topic_raw_rca
IAATO,24,9,0.10152609962093133,0.462188244612339,0.5652259283677754,0.4739894423121517,-0.9701985034818912,3,0.7269493507842069,4,0.5815045003879167,Site Guidelines for Visitors,0.05359623168137473,0.04667579238477432,0.22637485683101877,0.7269493507842069,2,0.4621882446123389,0.13869718696496885,0.16517411543765748,3.769355064945813,1.1890991311247936,24,0.8221125176820839,0.10175858318522903,9.827180849990029,1.252203609984186,1.082843105477039,Tourism and NG_Activities
United States,61,19,-0.0017609888007976042,0.4261951360254291,0.44915933482725307,0.4948336616951201,-0.4446808770210558,3,0.6465958077976195,6,0.5486928120359824,Mineral resources,0.032811688351934265,0.046454612708852684,0.3069495794935279,0.6465958077976195,9,0.426195136025429,0.14786165034492885,0.17243783313097885,4.901640563365767,1.1538898787357716,37,0.9409126484759269,0.039869363160104886,25.081915554664437,1.2945209048065496,1.0679774738052292,Inspections
United Kingdom,60,22,0.01825000128083254,0.4331684930049464,0.44915933482725307,0.4878086807090208,-0.327411355940413,3,0.5522198782553728,6,0.5486928120359824,Mineral resources,0.05856728282887014,0.005859313904279096,0.44192080784034815,0.5522198782553728,9,0.4331684930049464,0.14248859932518873,0.1699897933293219,5.128222857777014,1.1499723050679012,41,0.9571951617747446,0.03224556419843787,31.012017462186158,1.3057087471691269,1.0686529591501692,Inspections
Spain,54,15,-0.18348344749829,0.3628691551257378,0.3369819084088453,0.6136651649182351,0.42905357157779994,2,0.5714184148813536,8,0.5004157993437484,Area Protection and Management Plans General,0.15252025596615532,0.17575562817352808,0.5714184148813536,0.25282595694511834,10,0.36286915512573786,0.1631553873935352,0.21384780280300153,4.413080463613159,1.129563358793209,26,0.9388654526471459,0.05312271060923124,18.8243406357022,1.301565106309064,1.040111575245186,Nonnative Species and Quarantine
COMNAP,11,15,-0.13818199597876354,0.37865564004464025,0.37766342285112303,0.47717860454575306,0.3749986135133065,2,0.8422635911751315,8,0.4714397070089904,Emergency report and contingency planning,0.09135598413956791,0.052665729980139436,0.8422635911751315,0.105070678844729,8,0.3786556400446402,0.12618155366127112,0.16628546308361494,3.8890875907619282,0.9954431780437871,23,0.8597400960883207,0.09749175149900767,10.257278022235333,1.244192457476795,0.9858336495050624,Emergency report and contingency planning
ASOC,1,16,0.1605485293361611,0.48275616606569083,0.44915933482725307,0.6006187386877142,0.5816039172946479,2,0.5283260213361527,6,0.4326060447198917,Institutional and legal matters,0.35308889461195314,0.057175100560762256,0.5283260213361527,0.4144988781030851,8,0.48275616606569083,0.16730916442231197,0.20930143168187054,4.390900423997211,1.0977251059993027,34,0.8630825543126847,0.06846050941375799,14.606961130777645,1.350588577767162,1.1911232742836495,Human Footprint and wilderness values
Germany,22,19,-0.03469415004255412,0.4147187078793977,0.37766342285112303,0.5476923767821282,0.3892334758422219,2,0.6574873547989447,7,0.4326060447198917,Institutional and legal matters,0.06381657312659167,0.06026521224854239,0.6574873547989447,0.28224743295251287,8,0.4147187078793976,0.15116498126766217,0.19085784574787984,4.68063187846059,1.1018624643776542,36,0.9053577909069824,0.05204634091193516,19.213646578768078,1.3211234412489679,1.1472648033615562,Environmental Protection General
IUCN,33,10,-0.2937886506056521,0.3244303994805626,0.35913215815589544,0.3382675714260559,-0.6009041922415163,2,0.7793969481137133,7,0.4326060447198917,Institutional and legal matters,0.052522321850469234,0.2206030518862868,0.7793969481137133,0.0,8,0.3244303994805626,0.08878577646733557,0.11787825192685941,3.5303841462157797,1.062751524227524,15,0.9036301528852778,0.10182905346205881,9.820379999629447,1.1969341115615433,0.959662025290047,Nonnative Species and Quarantine
Uruguay,62,17,-0.39183219443756023,0.29026454222473014,0.311759645788881,0.4189590124124101,-0.270657296492417,2,0.648557992176214,4,0.40717324952471134,Prevention of marine pollution,0.2832541244603479,0.34321295561855936,0.648557992176214,0.00822905220522684,7,0.2902645422247302,0.1267421487974853,0.1459973115483047,4.350613919980416,1.0643800540703094,28,0.9049912042105481,0.06566751634712273,15.228229353367585,1.1724649083449648,1.0052765993760153,Environmental Protection General
Finland,20,13,-0.34357834521180236,0.3070798679489637,0.30522794333045394,0.460293475815371,0.10905701676086677,2,0.7327316651471352,6,0.40717324952471134,Prevention of marine pollution,0.1343691787527519,0.180096713578831,0.7327316651471352,0.08717162127403387,7,0.3070798679489637,0.12601871433417489,0.1604013948890008,3.794148501945339,1.0253236887888884,18,0.9098841107772926,0.08872779897530311,11.270424957552981,1.1719379753262922,0.9267739335929892,Environmental Protection General
ACAP,0,3,-0.37777044295991835,0.29516473019198464,0.311759645788881,0.11167789424734864,-2.0836203165642337,2,0.8790239040425727,1,0.311759645788881,Cooperation with Other Organisations,,0.12097609595742721,0.8790239040425727,0.0,4,0.2951647301919846,0.02687458354608637,0.03891710605675902,1.267108295772837,0.7994563248003055,3,0.7994563248003055,0.4896280258074313,2.0423667504549585,0.4274474302023622,0.2865985456560931,Cooperation with Other Organisations
WMO,64,7,-0.345308485922855,0.30647695481204495,0.311759645788881,0.4270370734343692,0.11166786308859751,2,0.6135376581518733,5,0.311759645788881,Cooperation with Other Organisations,0.09145904769629856,0.19696498555692035,0.6135376581518733,0.18949735629120631,4,0.30647695481204495,0.10891982802043873,0.14881232484742962,2.9181363489899494,1.0394611404713836,12,0.81399354899889,0.1759312351223274,5.684038990033159,1.0713008388498262,0.9078636919665065,Cooperation with Other Organisations
CCAMLR,10,6,-0.2429733024647276,0.3421383470223694,0.311759645788881,0.4545234015792113,0.5956973028438379,2,0.4666567109945525,3,0.311759645788881,Cooperation with Other Organisations,0.11350678769135486,0.2923611250086334,0.4666567109945525,0.24098216399681413,4,0.3421383470223694,0.12520346169587276,0.15839066042344357,2.4085949148925487,0.9317717043170243,11,0.6962400707435625,0.24978346010648242,4.0034676418274495,1.0336594728868136,0.7851754770873824,Operation of the Antarctic Treaty system Reports
China,14,17,-0.2563606630465349,0.3374731683395735,0.3369819084088453,0.44475391318594465,0.03234111116483424,2,0.6982724737981505,5,0.2840982040334893,Comprehensive Environmental Evaluations,0.16017907896912587,0.16015029187473082,0.6982724737981505,0.14157723432711863,9,0.3374731683395735,0.12597473537934778,0.15498622467110967,4.312395655231347,1.0550299348806316,24,0.9405520011457154,0.05995307194123542,16.679712442094313,1.1654374785857504,0.9843191140203464,Comprehensive Environmental Evaluations
South Africa,53,18,-0.28999559773259886,0.3257521887382699,0.3076348840643275,0.4947852952854576,0.07303831950379404,2,0.50060154537158,7,0.2840982040334893,Comprehensive Environmental Evaluations,0.17250951570827866,0.3345173533163688,0.50060154537158,0.16488110131205128,9,0.3257521887382699,0.14355309522353943,0.17242097858060335,4.5524281721769,1.0917290288439927,28,0.9469715146865852,0.04797234476554908,20.845343392890424,1.1994034566322045,0.9458895016731261,Inspections
India,35,13,-0.3715155962565443,0.297344396402245,0.2840982040334893,0.4739839560264985,0.38655740966550783,2,0.7699816871043538,6,0.2840982040334893,Comprehensive Environmental Evaluations,0.2840982040334893,0.19620588632536737,0.7699816871043538,0.03381242657027883,10,0.297344396402245,0.12208207474269459,0.1651722035968043,4.331896940206541,1.170643834290769,24,0.9448053150980381,0.056989023312594256,17.54723878166562,1.1932794415967414,0.9829584304286886,Environmental Impact Assessment EIA Other EIA Matters
Italy,36,15,-0.29107830505759386,0.3253748908309334,0.2840982040334893,0.5755895522806221,0.6093868244240007,2,0.4197592787657868,6,0.2840982040334893,Comprehensive Environmental Evaluations,0.16017907896912587,0.33140290324715377,0.4197592787657868,0.2488378179870594,9,0.32537489083093346,0.15906467920741946,0.20057935191412535,4.285693980136864,1.0969577660951484,26,0.9117644810115235,0.06430298665659355,15.55137719092961,1.2685525262037596,0.9882025157937567,Inspections
Czechia,16,10,-0.40848181228888303,0.2844625440039424,0.2620042318963083,0.4459846629289569,0.13490905689077473,2,0.6748421214135858,4,0.2840982040334893,Comprehensive Environmental Evaluations,0.2840982040334893,0.1676665062832011,0.6748421214135858,0.15749137230321317,10,0.2844625440039424,0.11333721726381624,0.15541511186137183,3.1964201319055143,0.9622183384477793,11,0.9239726302682677,0.12544815926614888,7.971420273121867,0.9607974012515788,0.7547046323011781,Environmental Impact Assessment EIA Other EIA Matters
UNEP,58,9,-0.4475939329824753,0.27083289456082155,0.27280407077195945,0.23611520195132038,-0.30190014443547253,2,0.9190417135852851,1,0.27280407077195945,Biological Prospecting,,0.08095828641471485,0.9190417135852851,0.0,11,0.2708328945608216,0.04259963286996671,0.08228056606798678,2.4193554382971474,0.7632216652432924,11,0.6993505595726024,0.3075016665104201,3.2520148958806168,0.8353685033341718,0.5702925771470586,Biological Prospecting
