specification,outcome,horizon_meetings,predictor,coefficient,se_two_way_cluster,incidence_rate_ratio,ci_low,ci_high,ratio_per_doubling_plus_one,doubling_ci_low,doubling_ci_high,n_topic_meetings,n_events,minimum_meeting,scale
accumulated_attention_hard_output,outcome_count_hard,10,outcomes_prior10,-0.048399251796176074,0.2877631508451541,0.9527533226566236,0.542040245042759,1.67467065800922,0.9677856208029731,0.660781852906223,1.4174254388398255,855,192,29,one sample SD of log1p predictor; SD=1.02453
accumulated_attention_soft_output,outcome_mass,10,papers_prior10,-0.044528571901290386,0.13559954646565706,0.9564482721575956,0.7332242546884117,1.24763098255935,0.9782756829391718,0.858080283412996,1.1153074255751025,855,855,29,one sample SD of log1p predictor; SD=1.40526
accumulated_attention_soft_output,outcome_mass,10,nearby_prior10,-0.10280366893794045,0.16844812448617155,0.9023041064161123,0.6485851421568856,1.255274978621765,0.9186376242365982,0.699488151777587,1.2064465745681292,855,855,29,one sample SD of log1p predictor; SD=0.839678
accumulated_attention_soft_output,outcome_mass,10,outcomes_prior10,0.19796225369950118,0.19035072790125568,1.2189163833691965,0.8393519500026412,1.7701241411795927,1.14331513115749,0.8882682079357119,1.4715932389063673,855,855,29,one sample SD of log1p predictor; SD=1.02453
past_and_future_placebo_hard_output,outcome_count_hard,5,papers_prior5,0.17150725486848378,0.1853101638056435,1.1870927549028627,0.8255539477183088,1.7069619891439294,1.0944975347328707,0.90399916548737,1.3251393355993846,855,188,24,one sample SD of log1p predictor; SD=1.31657
past_and_future_placebo_hard_output,outcome_count_hard,5,nearby_prior5,0.06002270964566709,0.18177343042312816,1.0618606607508996,0.7435991144853477,1.5163386304335826,1.0483672280230292,0.7920491468294454,1.3876333926906652,855,188,24,one sample SD of log1p predictor; SD=0.88082
past_and_future_placebo_hard_output,outcome_count_hard,5,outcomes_prior5,-0.05405626730750102,0.1537218784473615,0.947378798547887,0.7009272700343264,1.2804846184598915,0.9548129981137742,0.7378847465175515,1.2355152558304425,855,188,24,one sample SD of log1p predictor; SD=0.810319
past_and_future_placebo_hard_output,outcome_count_hard,5,papers_future5,0.23113633313988832,0.17902077608943132,1.2600310117240237,0.8871471732049596,1.7896446029022757,1.1205264223314173,0.9427487817102427,1.3318282531907346,855,188,24,one sample SD of log1p predictor; SD=1.40785
past_and_future_placebo_hard_output,outcome_count_hard,5,nearby_future5,0.46982866026535924,0.30778831322802014,1.599720074121285,0.875083093037744,2.9244129339340694,1.5491666714009327,0.8831003678216209,2.7176043213518497,855,188,24,one sample SD of log1p predictor; SD=0.743997
past_and_future_placebo_hard_output,outcome_count_hard,5,outcomes_future5,-0.11740878408731738,0.16779899302361112,0.8892216192088195,0.6399950670364988,1.2355018480529327,0.9120966384460071,0.7048668962538672,1.1802515940043226,855,188,24,one sample SD of log1p predictor; SD=0.884493
any_output_occurrence_sensitivity,any_hard_output,5,papers_prior5,0.2531371462546618,0.13576113089365047,1.2880599173150031,0.9871288802652063,1.6807312436728548,1.1370266408524594,0.9934496347967425,1.3013539254788065,1080,236,24,one sample SD of log1p predictor; SD=1.36634
any_output_occurrence_sensitivity,any_hard_output,5,nearby_prior5,-0.04073774646911422,0.08063151248049025,0.9600808815361034,0.8197338939778753,1.1244567363418299,0.9672480396913082,0.8500285523203404,1.100632170216915,1080,236,24,one sample SD of log1p predictor; SD=0.847958
any_output_occurrence_sensitivity,any_hard_output,5,outcomes_prior5,-0.12280284459329151,0.09481215346781947,0.8844380171097568,0.7344490406726828,1.0650577001129888,0.9026514585999132,0.7730555653750188,1.053972951242245,1080,236,24,one sample SD of log1p predictor; SD=0.831102
