analysis,specification,term,estimate,ci_low,ci_high,outcome_bootstrap_ci_low,outcome_bootstrap_ci_high,coefficient,se,p_value,predictor_sd,n_groups,n_rows,scale
conditional_logit,high_consensus_confidence,title_overlap,1.1447582651864716,1.06555051454058,1.2298539279273493,,,0.13519349260890853,0.0365826081329137,0.00021939629983661722,0.0621426078228317,80,13597,odds ratio per one-SD increase
conditional_logit,high_consensus_confidence,working_paper,2.232291762371019,1.7988319479021846,2.7702012509622587,,,0.8030287538843857,0.11014858033300633,3.0900396640782095e-13,0.45656612536292285,80,13597,odds ratio per one-SD increase
conditional_logit,unanimous_consensus,same_concern_mass,1.4896183903980937,1.2646371524802802,1.754624197668278,,,0.39851997332783795,0.08353812667226104,1.837545508845157e-06,0.21319265739022064,84,14268,odds ratio per one-SD increase
conditional_logit,unanimous_consensus,related_concern_proximity,1.1745813046953584,0.9042209671642024,1.5257788653880147,,,0.16091174766372845,0.13346595072384257,0.2279567369841582,0.14290148898243218,84,14268,odds ratio per one-SD increase
conditional_logit,unanimous_consensus,title_overlap,1.1636663456298095,1.088823755515076,1.2436533985345126,,,0.15157566357088667,0.03391718029763041,7.858846133615135e-06,0.06162229511392235,84,14268,odds ratio per one-SD increase
conditional_logit,unanimous_consensus,working_paper,2.2999564471380993,1.8489826149784696,2.860924497547915,,,0.8328901867289018,0.11135440650991112,7.452997629743503e-14,0.45725979166214387,84,14268,odds ratio per one-SD increase
conditional_logit,primary_0.75_secondary_0.25,same_concern_mass,1.5146799595829885,1.29667875891338,1.7693321219242577,,,0.4152041688453655,0.07928468075840049,1.6331591994859712e-07,0.2120611085276912,89,15189,odds ratio per one-SD increase
conditional_logit,primary_0.75_secondary_0.25,related_concern_proximity,1.1356192891077728,0.8803087457975931,1.464975982517575,,,0.1271781313017388,0.12992893716681125,0.3276647837032798,0.14125880729157284,89,15189,odds ratio per one-SD increase
conditional_logit,primary_0.75_secondary_0.25,title_overlap,1.1743430549678064,1.1033266154321806,1.2499305205384945,,,0.1607088890851721,0.03182605975255578,4.427348359042272e-07,0.06061676768408398,89,15189,odds ratio per one-SD increase
conditional_logit,primary_0.75_secondary_0.25,working_paper,2.169480919531858,1.7731236832575867,2.6544383252304953,,,0.774487931348664,0.10293119764240874,5.299279677639609e-14,0.45646318453880047,89,15189,odds ratio per one-SD increase
conditional_logit,primary_0.50_secondary_0.50,same_concern_mass,1.5206688213452846,1.3017603757953162,1.7763896545083158,,,0.41915025212334445,0.07930243287905551,1.2538568350228908e-07,0.21114118534538232,89,15189,odds ratio per one-SD increase
conditional_logit,primary_0.50_secondary_0.50,related_concern_proximity,1.1279445999634095,0.8733399893168056,1.4567740354840224,,,0.12039703836214362,0.13052417751590273,0.3563138297081109,0.14105158768902312,89,15189,odds ratio per one-SD increase
conditional_logit,primary_0.50_secondary_0.50,title_overlap,1.1714621065083237,1.1004524177541621,1.2470538887865772,,,0.1582526323122404,0.03190369805947842,7.037623108194187e-07,0.06061676768408398,89,15189,odds ratio per one-SD increase
conditional_logit,primary_0.50_secondary_0.50,working_paper,2.1647394836520277,1.7690816513455554,2.648886798705884,,,0.7723000233374508,0.1029793124714352,6.403007996362608e-14,0.45646318453880047,89,15189,odds ratio per one-SD increase
